name,Puebla,Iztapalapa,Leon,Gustavo A Madero,Mexicali,Ecatepec de Morelos,Tlalpan,Monterrey,Merida,Alvaro Obregon,Veracruz,Coyoacan,Nezahualcoyotl,Xochimilco,Guadalajara,Culiacan,Azcapotzalco,Cuauhtemoc,Toluca,Reynosa,Tijuana,Iztacalco,Juarez,Matamoros,Guadalupe
state,21,9,11,9,2,15,9,19,31,9,30,9,15,9,14,25,9,9,15,28,2,9,8,28,19
city,114,7,20,5,2,33,12,39,50,10,193,3,58,13,39,6,2,15,106,32,4,6,37,22,26
