date,med_temp,med_hum,pm25,pm10,o3,no2,home,work,transit,parks,grocery,retail
2020-05-14,22,44.656094854682,91,44,80,26,29,-62,-66,-63,-33,-67
2020-05-16,24.3,47.2775220478771,91,33,51,16,21,-37,-58,-64,-28,-66
2020-05-17,23.3,48.208872639381,70,36,84,15,16,-31,-58,-67,-33,-67
2020-05-18,24.35,49.868780483702,78,47,77,19,26,-59,-63,-60,-31,-65
2020-05-23,23.45,58.3049767600256,105,43,79,25,21,-34,-58,-64,-29,-70
2020-05-24,23.2,54.8510946201998,84,45,77,18,16,-28,-57,-66,-34,-70
2020-05-25,24.5,42.2797803747884,90,36,87,20,26,-58,-62,-58,-29,-67
2020-05-26,25.4,27.9443341257259,69,42,90,22,27,-59,-65,-60,-31,-68
2020-05-27,23.9,38.7700810144134,83,61,92,23,28,-59,-65,-61,-33,-69
2020-05-28,23.6,36.1413770872663,125,50,80,25,28,-60,-65,-62,-32,-69
2020-05-29,19.5,53.9140316039329,98,31,50,18,29,-55,-62,-60,-24,-68
2020-05-30,17.1,65.7074281863356,69,25,45,15,19,-27,-55,-62,-22,-66
2020-05-31,20.6,57.9723170386397,55,25,60,15,14,-21,-54,-67,-28,-68
2020-06-01,15.65,81.0374196938809,56,36,54,19,24,-54,-59,-55,-20,-64
2020-06-02,19.9,58.6717585626367,79,38,46,15,26,-57,-61,-56,-23,-65
2020-06-03,18.7,66.0763979620736,73,22,20,11,27,-57,-61,-56,-25,-66
2020-06-04,23,51.0400701347408,49,31,35,13,27,-57,-61,-57,-26,-67
2020-06-05,21.6,52.458174944789,48,30,43,15,28,-53,-61,-58,-24,-67
2020-06-06,26.4,47.6944418812232,51,29,53,14,19,-27,-54,-60,-23,-66
2020-06-07,25.4,59.0284034843946,54,24,58,10,15,-21,-54,-64,-30,-68
2020-06-08,22.2,65.1760208228959,48,24,66,16,24,-54,-59,-57,-29,-65
2020-06-09,23.2,44.4597431824791,49,31,77,25,26,-56,-62,-58,-29,-65
2020-06-10,22.4,49.1588069171004,67,34,47,21,26,-55,-60,-54,-25,-63
2020-06-11,17.2,70.3842485834959,58,28,35,13,26,-56,-61,-56,-26,-64
2020-06-12,17.8,53.6586214856268,63,26,32,12,27,-51,-59,-55,-22,-65
2020-06-13,19,56.20854806872,50,28,54,16,18,-22,-52,-55,-19,-63
2020-06-14,20.2,60.3182797510224,47,28,63,15,13,-14,-51,-57,-25,-64
2020-06-15,22.05,55.9964748840086,63,43,62,19,23,-51,-55,-47,-19,-58
2020-06-16,19.8,54.966420117928,89,43,81,19,24,-53,-57,-48,-19,-59
2020-06-17,21,52.3934882492358,83,43,73,20,25,-53,-57,-48,-19,-60
2020-06-18,22.3,48.2855519173727,83,37,51,19,25,-54,-58,-50,-21,-61
2020-06-19,21.9,48.5253267447804,59,36,56,17,24,-50,-56,-51,-19,-63
2020-06-20,25.1,48.3092181490175,56,34,51,19,17,-20,-50,-55,-19,-62
2020-06-22,16.3,81.3649863374547,68,30,43,24,23,-54,-57,-55,-28,-62
