date,med_temp,med_hum,pm25,pm10,home,work,transit,parks,grocery,retail
2020-04-11,21,91.7573737706663,70,34,21,-55,-64,-57,-23,-66
2020-04-12,23,66.2018387163469,72,59,13,-34,-61,-63,-29,-67
2020-04-14,17.6,92.7956431495892,67,29,24,-51,-59,-53,-17,-54
2020-04-15,12.1,96.7955543150205,66,5,25,-52,-61,-53,-15,-53
2020-04-16,14.2,95.935190070568,28,18,26,-52,-61,-51,-16,-53
2020-04-17,17.7,95.412910200255,45,38,25,-48,-58,-49,-14,-53
2020-04-18,22,87.7093970073233,71,27,17,-33,-56,-53,-19,-59
2020-04-19,24,83.5189504099882,60,37,14,-29,-61,-62,-28,-64
2020-04-20,22.8,68.9372905709326,36,41,22,-47,-57,-51,-25,-57
2020-04-21,23.9,86.9100216467523,60,57,24,-50,-60,-53,-25,-58
2020-04-22,28.5,77.7036532685804,129,57,24,-50,-62,-50,-26,-57
2020-04-23,27.2,71.076821878941,126,39,25,-51,-62,-51,-25,-58
2020-04-24,27.7,65.7225758782472,70,49,25,-47,-59,-52,-20,-59
2020-04-25,27.1,57.9004602234583,68,57,17,-34,-57,-55,-19,-60
2020-04-26,19.3,96.3676372053392,95,16,16,-32,-64,-67,-31,-67
2020-04-27,23,85.6813167958331,56,29,24,-47,-63,-55,-27,-59
2020-04-28,27.4,71.9114076344175,59,41,19,-50,-66,-56,-26,-59
2020-04-29,30.7,41.1190280528122,73,38,24,-50,-66,-50,-20,-54
2020-04-30,23.8,69.3489762206322,48,22,21,-49,-61,-42,-1,-40
2020-05-01,21.2,63.8848166626205,49,36,31,-70,-74,-55,-14,-60
2020-05-02,30.1,61.5481972393073,52,39,17,-39,-61,-53,-14,-57
2020-05-03,27.5,70.8574362395409,62,36,14,-29,-68,-62,-27,-63
2020-05-04,31.6,50.486441477878,65,37,22,-46,-61,-49,-19,-52
2020-05-05,31.1,62.1483554128174,67,51,23,-49,-63,-53,-20,-54
2020-05-06,30.4,48.1757370777637,87,24,23,-48,-64,-47,-19,-52
2020-05-07,26.6,62.6651117455449,49,28,23,-48,-64,-45,-17,-52
2020-05-08,24.3,75.8874209558454,53,43,24,-45,-60,-51,-16,-53
