date,med_temp,med_hum,pm25,o3,home,work,transit,parks,grocery,retail
2020-05-21,21.3,47.996125459448,75,23,18,-38,-51,-34,-12,-44
2020-05-22,22.95,39.3944526717362,84,32,17,-32,-51,-34,-9,-44
2020-05-23,25.6,35.01771110514,81,33,11,-15,-48,-34,-6,-46
2020-05-24,19.4,36.5617402905406,68,45,10,-12,-53,-42,-15,-50
2020-05-25,28.7,10.5206627378759,70,51,15,-31,-49,-35,-13,-43
2020-05-26,23.05,33.6763469686197,84,58,16,-36,-49,-35,-14,-44
2020-05-27,27.95,18.0470768220335,93,65,16,-35,-49,-34,-14,-43
2020-05-28,19.95,41.9227780516513,124,61,16,-35,-49,-33,-10,-42
2020-05-29,28.15,21.07521073887,122,29,16,-31,-49,-32,-4,-41
2020-05-30,22,48.9169512948651,74,35,9,-10,-44,-31,-1,-42
2020-05-31,21.7,50.0546076649157,114,49,8,-4,-50,-39,-8,-46
2020-06-01,23.65,46.08229116543,67,34,13,-27,-44,-36,-9,-39
2020-06-02,21.2,68.5381840108975,58,67,14,-33,-41,-33,-9,-39
2020-06-03,27.65,43.5255604788137,77,38,14,-33,-43,-31,-9,-38
2020-06-04,30.1,32.3084559938196,87,34,15,-33,-43,-30,-8,-39
2020-06-05,31.2,23.5714421740793,91,36,15,-29,-45,-32,-3,-39
2020-06-06,28.8,47.6669090288386,76,58,9,-10,-42,-33,-3,-41
2020-06-07,26.2,51.1457218272473,105,33,9,-6,-49,-39,-11,-45
2020-06-08,23.5,60.5893015632031,78,35,13,-26,-44,-34,-10,-39
2020-06-09,25.4,39.9856677808317,80,72,15,-33,-46,-38,-14,-41
2020-06-10,26.5,42.7997375048839,78,35,14,-32,-44,-33,-11,-38
2020-06-11,25.5,45.3531891492852,98,34,15,-32,-46,-31,-9,-37
2020-06-12,28.3,35.7178011832027,82,24,14,-28,-44,-30,-3,-36
2020-06-13,24.8,39.5233821466196,60,37,9,-7,-40,-28,0,-37
2020-06-14,21.4,69.9474307324633,92,50,9,-3,-48,-40,-12,-43
2020-06-15,20,77.1598657143312,76,58,12,-25,-41,-34,-6,-34
2020-06-16,20.05,71.2141038026104,72,60,13,-31,-40,-28,-3,-32
2020-06-17,26.8,47.5581089548936,78,76,13,-31,-41,-28,-7,-32
