date,med_temp,med_hum,pm25,pm10,o3,no2,home,work,transit,parks,grocery,retail
2020-05-30,17.1,65.7074281863356,58,20,55,10,19,-27,-55,-62,-22,-66
2020-05-31,20.6,57.9723170386397,48,23,64,8,14,-21,-54,-67,-28,-68
2020-06-01,15.65,81.0374196938809,60,26,71,8,24,-54,-59,-55,-20,-64
2020-06-02,19.9,58.6717585626367,64,27,60,9,26,-57,-61,-56,-23,-65
2020-06-03,18.7,66.0763979620736,64,13,25,6,27,-57,-61,-56,-25,-66
2020-06-04,23,51.0400701347408,32,16,47,8,27,-57,-61,-57,-26,-67
2020-06-05,21.6,52.458174944789,33,20,58,8,28,-53,-61,-58,-24,-67
2020-06-06,26.4,47.6944418812232,45,23,62,10,19,-27,-54,-60,-23,-66
2020-06-07,25.4,59.0284034843946,49,18,50,7,15,-21,-54,-64,-30,-68
2020-06-08,22.2,65.1760208228959,47,18,79,10,24,-54,-59,-57,-29,-65
2020-06-09,23.2,44.4597431824791,47,14,80,13,26,-56,-62,-58,-29,-65
2020-06-10,22.4,49.1588069171004,36,26,64,12,26,-55,-60,-54,-25,-63
2020-06-11,17.2,70.3842485834959,52,21,43,7,26,-56,-61,-56,-26,-64
2020-06-12,17.8,53.6586214856268,44,15,40,5,27,-51,-59,-55,-22,-65
2020-06-13,19,56.20854806872,24,17,50,5,18,-22,-52,-55,-19,-63
2020-06-14,20.2,60.3182797510224,38,24,67,7,13,-14,-51,-57,-25,-64
2020-06-15,22.05,55.9964748840086,59,29,72,9,23,-51,-55,-47,-19,-58
2020-06-16,19.8,54.966420117928,68,37,88,12,24,-53,-57,-48,-19,-59
2020-06-17,21,52.3934882492358,77,34,76,11,25,-53,-57,-48,-19,-60
2020-06-18,22.3,48.2855519173727,68,27,57,11,25,-54,-58,-50,-21,-61
2020-06-19,21.9,48.5253267447804,53,23,67,9,24,-50,-56,-51,-19,-63
2020-06-20,25.1,48.3092181490175,44,21,56,8,17,-20,-50,-55,-19,-62
2020-06-22,16.3,81.3649863374547,63,21,48,15,23,-54,-57,-55,-28,-62
2020-06-23,21.2,50.6034429839953,57,15,54,12,24,-54,-59,-51,-27,-62
2020-06-24,19.1,61.7861164385133,42,11,32,12,25,-53,-57,-52,-23,-61
2020-06-25,19.8,62.158076357557,34,9,24,9,25,-53,-57,-53,-23,-61
2020-06-26,21.3,57.4657980159433,27,14,36,9,26,-49,-56,-50,-20,-62
2020-06-27,21.3,62.4768639605552,33,28,86,9,16,-20,-49,-51,-19,-62
2020-06-28,22.7,56.0821912649684,62,29,64,9,12,-11,-48,-53,-24,-63
2020-06-29,21.85,53.8623044054456,55,30,64,12,22,-50,-54,-49,-21,-56
2020-06-30,21.3,56.1413844839322,64,24,90,13,22,-51,-54,-45,-13,-52
2020-07-01,20.4,61.0429065007144,60,21,69,11,22,-51,-53,-46,-13,-52
2020-07-02,21.2,53.6015778265967,53,31,79,10,22,-52,-53,-45,-15,-53
