date,med_temp,med_hum,pm25,o3,no2,home,work,transit,parks,grocery,retail
2020-03-20,23,58.1307730417037,87,70,16,11,-17,-28,-25,-3,-27
2020-03-21,25.9,48.1923186082746,62,84,11,10,-8,-31,-38,-9,-35
2020-03-22,25.35,55.1469156356132,75,79,13,8,-9,-32,-41,-12,-37
2020-03-23,22.5,52.8843075313039,61,83,17,15,-33,-39,-34,-16,-35
2020-03-24,26.6,42.1001594460698,51,83,20,17,-40,-44,-38,-17,-39
2020-03-25,21.45,54.3496480539647,59,105,15,19,-42,-47,-41,-19,-42
2020-03-26,25.15,39.4658521810038,65,67,16,20,-44,-49,-43,-21,-44
2020-03-27,20.3,48.7150916398054,77,49,17,22,-42,-50,-43,-20,-47
2020-03-28,31.4,32.2527268780365,65,73,16,14,-20,-44,-47,-17,-47
2020-03-29,28,30.1415991527334,73,87,8,12,-21,-46,-55,-21,-49
2020-03-30,24.5,50.1596710187982,87,103,12,19,-46,-51,-43,-20,-43
2020-03-31,26.4,41.1946541842139,88,65,13,21,-50,-53,-45,-18,-44
2020-04-01,23.4,50.4827103310575,67,86,12,22,-53,-56,-49,-15,-48
2020-04-02,24.4,52.8098022384929,77,78,14,24,-55,-57,-53,-17,-59
2020-04-03,23,53.430485309461,77,73,13,26,-53,-57,-53,-16,-67
2020-04-04,20.3,62.3471996979943,65,66,12,18,-33,-52,-57,-16,-67
2020-04-05,22.3,62.0426152386946,52,65,11,14,-32,-53,-61,-22,-69
2020-04-06,23.7,56.8639374736917,60,53,13,24,-58,-59,-51,-23,-65
2020-04-07,20.9,60.1662517564272,65,67,14,25,-61,-62,-53,-25,-63
2020-04-08,22.25,46.7998910105798,65,87,13,25,-61,-61,-54,-23,-63
2020-04-11,25.7,40.5043362858742,66,62,10,22,-52,-67,-67,-36,-74
2020-04-12,24.6,40.6393469568935,74,44,8,14,-36,-59,-67,-36,-70
2020-04-13,26.2,44.2436965013427,71,82,12,24,-58,-61,-54,-28,-63
2020-04-14,22.5,43.1050274508844,72,53,12,25,-59,-62,-54,-26,-63
2020-04-15,23.6,41.3351570543284,83,75,13,26,-59,-61,-54,-22,-61
2020-04-16,21.4,53.0495020597672,101,81,13,27,-60,-63,-56,-25,-63
2020-04-17,20.6,59.9015003836765,99,94,14,29,-57,-62,-57,-26,-65
2020-04-18,21.8,60.9032365301534,95,99,16,19,-35,-58,-62,-30,-67
2020-04-19,20.7,69.5357829944741,98,92,12,14,-31,-56,-65,-32,-67
2020-04-20,23.2,57.0693077443819,107,100,12,24,-57,-62,-55,-31,-64
2020-04-21,20.5,61.4717652008678,84,91,11,26,-59,-65,-61,-34,-66
2020-04-22,20.6,58.737364801849,79,88,12,27,-60,-65,-61,-33,-67
2020-04-23,23.2,51.5385297774227,70,80,12,29,-61,-67,-63,-38,-70
