date,med_temp,med_hum,pm25,pm10,o3,no2,home,work,transit,parks,grocery,retail
2020-05-01,35,11.3157253493689,44,37,55,5,28,-64,-67,-39,-15,-61
2020-05-02,34,11.6738750687967,31,28,45,3,19,-39,-63,-46,-18,-60
2020-05-03,33,11.6102070255673,27,21,42,3,16,-31,-65,-54,-25,-63
2020-05-04,32,12.9031046204614,23,25,45,4,20,-45,-58,-34,-16,-54
2020-05-05,36,8.05725931373321,23,34,48,9,21,-46,-61,-33,-16,-54
2020-05-06,38,8.42553260968687,33,35,72,4,21,-45,-60,-37,-15,-54
2020-05-07,38,7.89613172712473,32,40,74,6,21,-46,-58,-34,-12,-53
2020-05-08,37,11.4836316313643,43,42,57,7,22,-43,-58,-31,-9,-52
2020-05-09,35,25.8905439672294,43,41,60,5,17,-30,-60,-40,-8,-52
2020-05-10,34,24.4846123840815,42,37,37,3,12,-19,-64,-48,-14,-55
2020-05-11,33.5,16.1485170241593,35,39,46,4,19,-41,-57,-34,-16,-53
2020-05-12,30,11.1865971461332,30,47,41,1,20,-42,-58,-33,-14,-52
2020-05-13,26,22.5517981160223,33,16,43,1,21,-42,-61,-35,-15,-52
2020-05-14,30,14.2986021219191,12,28,43,4,20,-43,-58,-35,-14,-51
2020-05-15,31.5,17.0050557182621,27,24,44,2,21,-41,-55,-31,-8,-50
2020-05-16,32.5,23.3334055027145,20,38,44,5,17,-28,-58,-41,-12,-53
2020-05-17,34,24.6688941659206,36,32,30,2,14,-23,-60,-49,-18,-57
2020-05-18,32.5,10.6914847052815,31,39,42,2,18,-38,-56,-34,-13,-50
2020-05-19,26,14.3298420146533,24,36,37,1,19,-39,-56,-35,-13,-50
2020-05-20,26,16.8765994452374,13,21,45,2,19,-40,-55,-37,-11,-49
2020-05-21,30.5,12.4374440586859,11,24,47,3,20,-40,-55,-36,-10,-49
2020-05-22,32.5,14.3951086205024,22,40,51,4,20,-37,-54,-36,-8,-51
2020-05-23,30,13.5506337243335,37,22,47,1,16,-24,-56,-45,-10,-52
2020-05-24,34,9.04388729354307,21,20,40,2,14,-22,-58,-50,-16,-56
2020-05-25,35,6.26488537596573,30,32,39,6,19,-39,-53,-36,-10,-48
2020-05-26,38,5.83350028276837,37,33,43,6,18,-37,-54,-37,-13,-51
2020-05-27,37,15.6512066187579,28,47,51,9,19,-38,-56,-40,-14,-51
2020-05-28,39,15.959452185768,43,44,55,8,19,-38,-54,-40,-11,-49
2020-05-29,34,29.1001693041251,39,39,44,5,20,-36,-53,-36,-5,-49
2020-05-30,35,10.3360964543114,40,51,45,2,14,-19,-50,-44,-6,-50
2020-05-31,35,10.6812651711566,25,18,48,1,13,-16,-54,-48,-12,-54
2020-06-01,34.5,23.897447981172,17,31,50,4,16,-32,-43,-36,-9,-47
2020-06-02,37,17.0546147103336,27,39,45,3,17,-34,-43,-35,-9,-47
2020-06-03,39.25,10.900687580644,33,32,53,5,18,-35,-44,-37,-9,-47
2020-06-04,41,9.81857996933042,35,43,42,6,18,-35,-44,-36,-8,-46
2020-06-05,36,15.3162230967368,43,82,36,2,18,-33,-44,-33,-4,-46
2020-06-06,29,24.9998255199054,35,25,34,2,14,-18,-43,-42,-6,-48
2020-06-07,30,21.2359260054519,20,17,41,1,12,-16,-45,-44,-11,-51
2020-06-08,29.5,7.17734027520841,24,38,36,2,15,-30,-44,-33,-9,-45
2020-06-09,32,4.92804466554344,24,24,35,4,16,-32,-45,-33,-10,-47
2020-06-10,34.5,5.84090779478355,16,31,45,4,17,-33,-45,-34,-8,-45
2020-06-11,38.5,6.50513594248359,31,58,65,9,17,-33,-45,-31,-7,-44
2020-06-12,38,8.43110163072608,83,55,60,5,17,-31,-41,-29,-1,-44
2020-06-13,35.5,6.1015975988564,56,26,54,1,12,-15,-42,-34,-3,-45
2020-06-14,32.5,12.0841364522402,16,13,38,1,11,-12,-40,-38,-9,-48
2020-06-15,34,19.9813774738964,15,38,49,4,14,-29,-40,-29,-6,-41
2020-06-16,35.5,14.6260396179348,40,37,50,2,15,-30,-38,-27,-5,-41
2020-06-17,33,14.9096202805279,28,31,37,3,16,-31,-40,-28,-6,-40
2020-06-18,34.5,14.170712549032,27,41,50,4,15,-32,-39,-27,-4,-40
2020-06-19,33,21.2030619450584,29,40,53,5,14,-29,-35,-23,2,-40
2020-06-20,35,23.1274650705602,38,36,51,6,11,-12,-33,-33,2,-41
2020-06-21,38,13.5484284341155,38,33,51,5,8,-4,-42,-39,-6,-48
2020-06-22,37.5,13.2931054984502,37,40,54,7,14,-31,-37,-28,-8,-42
2020-06-23,36,24.9581245715741,42,46,47,11,15,-31,-39,-26,-6,-41
2020-06-24,37.5,14.5878980485872,46,39,48,8,15,-31,-39,-27,-7,-41
2020-06-25,38,15.3964067682771,46,39,52,6,15,-31,-40,-25,-6,-40
2020-06-26,38,11.3747934423047,43,48,51,8,15,-29,-38,-23,-1,-41
2020-06-27,38,18.5688370657456,50,43,49,7,11,-14,-34,-30,-4,-43
2020-06-28,35,26.4116184630115,50,40,43,2,10,-9,-37,-33,-10,-46
2020-06-29,31.5,16.1349379201204,43,45,40,1,14,-29,-41,-28,-7,-39
2020-06-30,34,13.094376128372,18,32,60,3,13,-29,-40,-22,-3,-36
2020-07-01,35,16.4590524455261,27,40,51,6,14,-31,-36,-24,-4,-35
2020-07-02,37,13.7759844606561,43,39,42,4,14,-31,-30,-20,-2,-35
2020-07-03,38,14.241974067708,31,35,39,5,14,-30,-26,-18,5,-35
2020-07-04,39,14.0507735340728,36,29,51,3,11,-14,-32,-30,-3,-41
2020-07-05,40,11.0928614726397,31,22,39,2,9,-10,-35,-34,-9,-45
2020-07-06,39.5,18.1973163835728,22,33,42,5,13,-30,-35,-23,-5,-38
2020-07-07,36,35.7150785952015,34,40,41,4,13,-31,-37,-21,-4,-37
