date,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests
2020-02-19,2.145431673382612,2.1335045957969703,1.8387153751260463,2.395121305384713,29.816356126565307,0.0,0.0,0,0
2020-02-20,2.121155840467712,2.1115250534413432,1.8331370939548017,2.364517762318542,0.46065594900896706,0.0,0.0,0,0
2020-02-21,2.1005203927533445,2.0895449420326178,1.8191319109997892,2.31546919483432,6.53343648436267,0.0,0.0,0,0
2020-02-22,2.0841506202609352,2.0744313836716772,1.795082327352151,2.287174817697524,12.462234099129054,0.0,0.0,0,0
2020-02-23,2.0567716450237516,2.0507945451696576,1.7953874874809292,2.237478538297063,13.969631740638244,0.0,0.0,0,0
2020-02-24,2.02331874619476,2.0109414322031895,1.7856672462354661,2.209053134247131,15.33440448018246,0.0,0.0,0,0
2020-02-25,1.984889039391426,1.9711642870938801,1.753539811887593,2.15839739264684,17.8919981820262,1.9033677452046498,0.0,0,0
2020-02-26,1.9417468141346002,1.9355008288002509,1.7355629257150933,2.1250576571221127,20.954761102196624,2.9685038751228037,0.0,0,0
2020-02-27,1.8884074141430065,1.8827626029997215,1.7181724811747243,2.078510386408816,24.23878738917233,3.756025182184958,0.0,0,0
2020-02-28,1.8325319071453632,1.8324381844847566,1.6314186221817868,1.975180971602955,27.859716935766933,4.668746562883333,0.0,0,0
2020-02-29,1.7748965050091252,1.7724779022694666,1.623500874557268,1.9404020034906138,31.868941194523973,5.888600681823539,1.9970629210444808,1,11
2020-03-01,1.7116949578528824,1.7068971024580455,1.5531595124656004,1.8489383157728159,36.22725088849957,7.078397624583154,1.9970629210444808,1,3
2020-03-02,1.649435025067997,1.651470269479126,1.5083910696785203,1.786114690392643,40.8902742814519,8.654081092311467,0.0,0,0
2020-03-03,1.5834179839362434,1.5804400940942456,1.4514491983548332,1.7122114727642472,45.79922556571724,10.088771445651311,3.9941258420889616,2,12
2020-03-04,1.5191872858000088,1.5166719367781032,1.3983306486607714,1.643010718860428,50.88046106379015,11.852902489485452,1.9970629210444808,1,9
2020-03-05,1.4527804002085665,1.4494321991449803,1.3146970224356007,1.546047627909951,56.03932907942943,14.002706595949611,11.982377526266886,6,3
2020-03-06,1.3866490758222918,1.3848154523896283,1.2692226406708498,1.491985505039605,61.16995225943843,16.205586097695296,0.0,0,0
2020-03-07,1.324928859589584,1.3255923562407548,1.2260094460398667,1.4388176108841597,66.15010979706508,18.780288461269976,23.96475505253377,12,33
2020-03-08,1.2645895209675333,1.2631049879162293,1.1596080516503646,1.3527479929277704,70.84463839355462,21.627659182262363,7.988251684177923,4,14
2020-03-09,1.2063212763174023,1.2045664497229231,1.104658164515764,1.292651282996869,75.14382306782016,24.87006956942581,25.96181797357825,13,16
2020-03-10,1.1524196923033727,1.1504612390215652,1.0652080753687634,1.2389496929944612,78.90550630102187,28.25613840973229,11.982377526266886,6,25
2020-03-11,1.1004552429504784,1.098491374250282,1.0195819296632376,1.187935104676331,82.13647296545389,31.95002753512663,61.908950552378904,31,86
2020-03-12,1.0546894368005695,1.0553871380235518,0.9800780863918769,1.14353222348994,84.69149603083814,35.90558961563129,41.93832134193409,21,57
2020-03-13,1.0134979244430549,1.0107653730711954,0.9322933990401087,1.0917244684492708,86.52649780105887,40.06093147616383,39.94125842088961,20,58
2020-03-14,0.9787071477952916,0.976066662047248,0.9090591283806535,1.0613758687893722,87.64544087995762,44.34892205467145,71.89426515760131,36,86
2020-03-15,0.9455918041160447,0.9446938706780313,0.8762619869910552,1.020681935807439,88.07992428581004,48.74066291432878,59.91188763133442,30,61
2020-03-16,0.9168095791547504,0.9144466039246646,0.839728875490453,0.9750269871933822,87.89117221301059,53.112886241155365,71.89426515760131,36,84
2020-03-17,0.8934016954889149,0.8941667451547439,0.8183047777959157,0.9607362762387417,87.13560423479156,57.39569266294951,71.89426515760131,36,66
2020-03-18,0.8739714502829997,0.8705094104004429,0.7850905692693123,0.9257877806748975,85.8679272494766,61.52648390600489,59.91188763133442,30,51
2020-03-19,0.8573162872988577,0.8529853771245142,0.7866676499144457,0.919770820022185,84.1753412694502,65.43602500556155,103.847271894313,52,78
2020-03-20,0.8462619878165982,0.8430907000937838,0.7720520365967118,0.9003792889597644,82.1548606950364,69.01698487869326,83.87664268386818,42,87
2020-03-21,0.8365446989725475,0.8355508855090875,0.7751577656383853,0.9061447611133339,79.88715184667637,72.22111296936154,99.09200131627877,72,212
2020-03-22,0.8283962447264851,0.8270791706585656,0.7574598181927027,0.8800525327811384,77.45767319286392,74.97575358263019,119.82377526266885,60,137
2020-03-23,0.8225325517683388,0.8228324049122758,0.7627678882183089,0.882046843478004,74.93603226953331,77.2742440254857,137.79734155206916,69,117
2020-03-24,0.8197920173936061,0.8186828950792895,0.7536921932119202,0.8809649906414891,72.36227266487423,79.07288123153971,107.84139773640196,54,96
2020-03-25,0.8178049946507349,0.818248070165206,0.7525693677446322,0.8714335234997659,69.77330157435095,80.37669593728361,96.35224830830931,71,215
2020-03-26,0.816967796047233,0.816756059308935,0.7600350303503793,0.8819542462778109,67.21360315018134,81.17930571289513,111.83552357849092,56,133
2020-03-27,0.8188303982329027,0.8163278394038618,0.7493045261276812,0.8777055471314824,64.71468632528035,81.51657116686827,86.09632901250451,54,183
2020-03-28,0.8212334960197748,0.8173179543303971,0.7464155582602737,0.8742639799645836,62.29170535200074,81.40886280788223,92.9819328590479,87,273
2020-03-29,0.8221392642972066,0.823624376212666,0.7597769859284289,0.8814945500150793,59.965042678468386,80.90681874338016,94.9752759439016,111,341
2020-03-30,0.8259476021605127,0.8253629127791527,0.7596901730997607,0.8828046188106883,57.74996335593377,80.04850001175335,92.03511382507473,47,149
2020-03-31,0.8301450357077682,0.8286933041535333,0.7651789285661574,0.8905602708127892,55.63922783385581,78.89012426747054,79.88251684177922,40,137
2020-04-01,0.8346382233827021,0.8328110124469823,0.7618623412237512,0.892914309748249,53.63444775399435,77.47524874558485,66.96381145417017,56,244
2020-04-02,0.8367492731696005,0.8365413747810113,0.7745339696161982,0.9016563062478037,51.74484757123079,75.85875860587683,55.1378065066958,48,254
2020-04-03,0.8403593574136694,0.8406751356912443,0.7827487862330779,0.9078839975717965,49.96970535240482,74.06870603135785,62.78614148098958,51,237
2020-04-04,0.8423651802117004,0.8400761674732742,0.7894116901280652,0.9153766547015582,48.29266276669064,72.16325528460085,68.33296001550079,63,269
2020-04-05,0.8457647075637376,0.8462098033208789,0.7761009773673778,0.8999971471546377,46.70159429779954,70.17726084240634,48.13479195355053,65,394
2020-04-06,0.8473394196388314,0.8465099163160779,0.7833527993446772,0.9131875153067819,45.189190008927895,68.14581082982609,62.87556769019195,89,413
2020-04-07,0.84818037759517,0.8467595301314148,0.7853136076767305,0.9102793408222256,43.75196446302547,66.0881814514827,53.23539096055835,52,285
2020-04-08,0.8468448704653975,0.8457159568443431,0.7716913311818865,0.9059756171218442,42.38190030009125,64.03849807520746,33.950069657756174,17,128
2020-04-09,0.8439951887145911,0.8426745546935037,0.7818343156773553,0.9072515721214186,41.0647102640085,62.01281211160621,43.14921653560965,63,426
2020-04-10,0.8415937901216302,0.8405962486522296,0.775566638393182,0.9032431491074424,39.78455525314567,60.028034408185576,38.80696603272987,81,609
2020-04-11,0.8390081538883426,0.8408073165486613,0.7707111917698289,0.8955878487675817,38.52560540281018,58.09758976864375,45.16275511612384,139,898
2020-04-12,0.8358240059157839,0.836985099981438,0.768545053805264,0.8920438888626347,37.28384020419317,56.223828707270776,44.7141151450391,99,646
