date,mean,median,lower_80,upper_80,infections,test_adjusted_positive,test_adjusted_positive_raw,positive,tests
2020-02-15,1.7141541975434975,1.6943591724730012,1.5066147574824327,1.9029730830962126,132.4266224005507,0.0,0.0,0,0
2020-02-16,1.6794587875543388,1.6631189649783964,1.49171916206944,1.8675479525630014,1.6489326480115862,0.0,0.0,0,0
2020-02-17,1.6442061540185033,1.6297792392130805,1.4607767685010153,1.8116156736714706,23.38147455972043,0.0,0.0,0,0
2020-02-18,1.6047004357287957,1.6005320475846192,1.4327508009293723,1.7584479456978173,44.45983290327113,0.0,0.0,0,0
2020-02-19,1.559607991223863,1.5542941177850607,1.4132188629703546,1.7032989740817253,48.63802101546961,0.0,0.0,0,0
2020-02-20,1.5154428927446666,1.5122266217781244,1.3834694045525127,1.6441646870117037,50.359510833750825,0.0,0.0,0,0
2020-02-21,1.4670466327634701,1.4604874259016742,1.3348372439682423,1.580776299728008,54.84821838370438,8.51929258524258,0.0,0,0
2020-02-22,1.4152434870584625,1.4096764145558984,1.293024056694086,1.5240836824543738,60.25672592261232,13.261198648559734,0.0,0,0
2020-02-23,1.3656518382242995,1.3622134306295455,1.2586324882860949,1.4732439963567052,65.37648618507413,16.40958210488063,0.0,0,0
2020-02-24,1.3168861651063424,1.314482694045099,1.2129067050779712,1.4129842869528313,70.22302654397558,19.59219489028505,0.0,0,0
2020-02-25,1.2719664097694605,1.27100449769459,1.1755873404891652,1.3646669093399768,74.89586586187914,23.74245528329478,12.145144039751083,18,547
2020-02-26,1.2261817769033214,1.226840211460217,1.1409153320594922,1.3154268284988775,79.32062260194766,27.35076693256291,18.10978570969317,10,89
2020-02-27,1.1867765868562927,1.1868351924172869,1.0964422001230392,1.2678247065700188,83.39684936421875,32.11994497849251,40.494389174683825,35,319
2020-02-28,1.1514618286586893,1.1479140330007707,1.0637778089067649,1.2396300982226398,87.04125477348975,35.55241373129649,47.08544284520224,26,132
2020-02-29,1.1168850654208604,1.1124180384838938,1.0331039542366685,1.2070749219799437,90.21361930540637,39.62050874090467,88.73794997749654,49,186
2020-03-01,1.0848350523844634,1.0812170603744902,1.0075897431815224,1.1714565691991448,92.91450321510767,44.47115811219139,65.19522855489541,36,130
2020-03-02,1.054880788962311,1.051304712834129,0.9727132396390229,1.1339225110981823,95.12440467921687,48.50876506308185,68.81718569683404,38,135
2020-03-03,1.0264963208811457,1.0262218828371519,0.9371369242014724,1.1037411228246403,96.82151586484203,53.00425814358889,79.68305712264994,44,20
2020-03-04,1.0010123213363527,0.998871960455854,0.9180665732636585,1.0825124793512277,98.00458966482952,57.41775292068617,93.75757364557843,63,248
2020-03-05,0.9743342011823205,0.9738147707106972,0.8832841199288323,1.0416256101858121,98.67772457983538,62.24329319597627,106.84773568718971,59,147
2020-03-06,0.9515383329499714,0.947078641036603,0.8619229547201471,1.0190796393663701,98.69295245995617,66.3182096349047,86.92697140652722,48,70
2020-03-07,0.9304429136972631,0.9271625015764873,0.8567161758274588,1.0085782383701278,98.42806352095555,70.38099621024001,95.9818642613738,53,177
2020-03-08,0.9108113428763142,0.909489717410592,0.835709370520085,0.9823246294048912,97.64811324497991,74.31323489002311,84.90513711461875,49,213
2020-03-09,0.89169940757161,0.8892429597567654,0.8205363639833109,0.9572867113124449,96.4203478061569,77.993119619282,134.01241425172947,74,202
2020-03-10,0.8767251470201914,0.8755315629985173,0.8109564325022673,0.9477682269267653,94.82838740730192,81.31691368759678,56.14033570004883,31,124
2020-03-11,0.8629288824645452,0.8622533072958372,0.7956752220463938,0.9237141237608859,92.90610457116745,84.40735579522169,56.14033570004883,31,172
2020-03-12,0.8510182962548373,0.8503723326102373,0.7850764861522932,0.910455118360462,90.7041537973102,87.01788257689066,27.164678564539756,15,69
2020-03-13,0.8425997655364391,0.8428447100369605,0.7863718477392346,0.9094841210649882,88.28569408007226,89.1655454120338,56.14033570004883,31,116
2020-03-14,0.8341195622864465,0.8338133651985677,0.779817487393977,0.9046103075638814,85.70184386455577,90.92111548599459,112.05535644413418,143,471
2020-03-15,0.826372699257378,0.8262038388026489,0.7637696356565253,0.8888274576192958,83.01343866759544,92.335933872238,82.42038175478082,159,712
2020-03-16,0.8197683878564425,0.8182155974117263,0.7506680042873669,0.8755986795277239,80.26299103493976,93.27206268420325,110.46969282912833,61,148
2020-03-17,0.8150332508012693,0.8123359181035166,0.7515932709482491,0.8751502414531079,77.47015052267987,93.81058095703622,106.73100152764819,131,453
2020-03-18,0.8101813787378237,0.8062602525662252,0.7420898391528999,0.8653533742935334,74.65568445204265,93.8701977416505,230.25014154056134,136,218
2020-03-19,0.8071356734201676,0.8040194715691809,0.735367798410244,0.8619654605924326,71.85094499731376,93.60694529927369,88.25764696519599,88,368
2020-03-20,0.8054256374107213,0.8026428391675824,0.7363166880353255,0.867441335437007,69.07747522356463,92.95424372542941,115.43485663030081,147,470
2020-03-21,0.8051907251869211,0.8028506664169981,0.7408351346984872,0.8704638563329866,66.35220253645701,91.99929537622903,70.3572488951511,118,619
2020-03-22,0.8035773699921457,0.8006568872132835,0.7350411593385152,0.8621963517820308,63.69892608069408,90.71223568785597,92.2693581908867,72,288
2020-03-23,0.8037081393599942,0.8037636659768903,0.7301003260375396,0.8567908361860744,61.13703831484061,89.19504476406011,113.8542209039219,120,389
2020-03-24,0.8034761663419302,0.8010050569371727,0.7346089915560877,0.8610162306858268,58.66693430851979,87.42903223065422,113.92743905241318,96,311
2020-03-25,0.8051876377876792,0.802318126710889,0.7406388568427313,0.86597688864223,56.28896970449269,85.4909796106752,65.37678143173379,141,796
2020-03-26,0.8060232204738028,0.8035101367072961,0.7433222852231616,0.8716087408342781,54.00640803642321,83.3789017646265,64.71299880825194,91,519
2020-03-27,0.8078976312299896,0.808253630100481,0.7336867821602644,0.8635103722620676,51.82596206147536,81.16188207317961,52.72534753764954,63,441
2020-03-28,0.8093912492945321,0.8062927348778128,0.7442861581145835,0.867701434074862,49.74822995384392,78.84767299731395,56.476278302072934,114,745
2020-03-29,0.8105063634237548,0.8067457697892618,0.7436324875682394,0.8688423735426716,47.769695564160806,76.49643919551647,0.0,0,0
2020-03-30,0.8138778776411968,0.8122255503786016,0.7498546127574907,0.8772258141448858,45.88639275156307,74.05629204102554,0.0,0,0
2020-03-31,0.8163700163518213,0.8141990731263675,0.7483635062933873,0.8778866229815514,44.09104518283933,71.62066440046766,56.59821456038927,119,776
2020-04-01,0.8185973684844382,0.8164717936804771,0.7623745587847967,0.8923021594678837,42.3855977297966,69.19421191986319,67.02975796826748,81,446
2020-04-02,0.8193951424358497,0.8193369018104437,0.7464571839556725,0.8803272882669414,40.77053754956441,66.8025621932414,88.73794997749654,49,184
2020-04-03,0.8205491120642605,0.8200961003314573,0.7462783013820384,0.8806323969654787,39.23817877124262,64.41844103276108,69.58017175050472,46,244
2020-04-04,0.8218365681584671,0.8209523907650924,0.7573497747571215,0.8896225440372494,37.77639675788415,62.09666887423686,56.14033570004883,31,173
2020-04-05,0.8211157425122099,0.8197960600027419,0.7590001510633494,0.8966371597034172,36.37647340558911,59.82757583497447,69.63725146482017,50,265
2020-04-06,0.8177308929982017,0.8165697443602428,0.7529804650086702,0.8857572767883639,35.03653607666621,57.62283762274231,79.21661971510274,44,205
2020-04-07,0.8167193658009658,0.8151326014195135,0.7373811058256785,0.870131799146996,33.74741422728307,55.49614113199086,30.78663570647839,17,191
2020-04-08,0.8137982831644399,0.8104338854898662,0.7468492212458532,0.8805757356707897,32.49120816359343,53.428400298127016,47.45281278388459,27,210
2020-04-09,0.808003590147467,0.8076607131175473,0.739171402105544,0.8723301848992048,31.265572368253167,51.44139691554528,48.884428180602235,40,302
