date, pm25, pm10, o3
2015-02-04,29,7,16
2015-02-05,4,43,17
2015-02-06,45,33,25
2015-02-07,37,17,28
2015-02-08,19,12,27
2015-02-09,14,24,27
2015-02-10,25,17,26
2015-02-11,20,24,30
2015-02-12,19,14,23
2015-02-13,16,20,4
2015-02-14,27,22,31
2015-02-15,34,16,30
2015-02-16,23,15,29
2015-02-17,17,18,31
2015-02-18,22,27,31
2015-02-19,30,23,28
2015-02-20,25,17,33
2015-02-21,13,15,31
2015-02-22,14,14,27
2015-02-23,16,7,21
2015-02-24,8,20,34
2015-02-25,20,7,32
2015-02-26,9,11,28
2015-02-27,15,9,24
2015-02-28,14,12,28
2015-03-01,18,16,30
2015-03-02,27,16,19
2015-03-03,25,7,22
2015-03-04,9,9,33
2015-03-05,15,9,25
2015-03-06,12,12,33
2015-03-07,14,10,27
2015-03-08,13,14,32
2015-03-09,18,17,40
2015-03-10,20,15,39
2015-03-11,20,18,39
2015-03-12,26,19,42
2015-03-13,30,16,42
2015-03-14,24,17,43
2015-03-15,20,12,42
2015-03-16,15,22,38
2015-03-17,29,14,22
2015-03-18,23,10,27
2015-03-19,18,8,33
2015-03-20,14,11,33
2015-03-21,16,14,30
2015-03-22,24,9,38
2015-03-23,12,11,38
2015-03-24,14,14,36
2015-03-25,17,16,38
2015-03-26,20,27,37
2015-03-27,23,23,38
2015-03-28,25,16,39
2015-03-29,18,15,38
2015-03-30,19,37,30
2015-03-31,39,23,36
2015-04-01,27,15,37
2014-11-07,4,9, 
2014-07-11,44,18, 
2014-07-12,43,20, 
2014-07-13,27,18, 
2014-07-27,40,24, 
2014-07-28,38,23, 
2014-07-29,34,17, 
2014-08-19,24,18, 
2014-08-28,10,9, 
2014-09-06,11,9, 
2014-04-21,24,9, 
2014-04-22,25,11, 
2014-04-23,33,20, 
2014-05-02,37,42, 
2014-05-04,40,22, 
2014-05-05,39,22, 
2014-05-06,29,32, 
2014-05-07,27,61, 
2014-05-09,30,22, 
2014-05-10,30,22, 
2014-05-11,32,25, 
2014-05-13,46,28, 
2014-05-14,63,59, 
2014-05-15,17,14, 
2014-05-16,25,20, 
2014-05-17,31,24, 
2014-05-18,41,27, 
2014-05-19,30,22, 
2014-05-20,45,39, 
2014-05-21,22,20, 
2014-06-17,35,20, 
2014-01-10,23,21, 
2014-01-11,15,20, 
2014-01-12,24,17, 
2014-01-13,29,24, 
2014-01-14,18,17, 
2014-01-15,32,28, 
2020-05-03, ,24,34
2020-03-01, ,23,15
2020-01-01, ,14,27
2019-01-01, ,32,23
2017-09-09, ,29,36
2016-01-03, ,16,13
2015-01-01, ,9, 
2015-01-09, ,17, 
2015-01-10, ,13, 
2015-01-11, ,10, 
2015-01-12, ,14, 
2015-01-13, ,8, 
2015-01-14, ,8, 
2015-01-15, ,15,14
2015-01-20, ,26, 
2015-01-21, ,17, 
2015-01-22, ,6, 
2015-01-23, ,7, 
2015-01-24, ,18, 
2015-01-25, ,17, 
2015-01-26, ,27,4
2014-10-02, ,14, 
2014-10-03, ,20, 
2014-10-04, ,19, 
2014-10-05, ,25, 
2014-10-06, ,13, 
2014-10-07, ,16, 
2014-10-08, ,19, 
2014-10-09, ,18, 
2014-10-10, ,13, 
2014-10-11, ,9, 
2014-10-12, ,21, 
2014-10-13, ,44, 
2014-10-14, ,27, 
2014-10-15, ,22, 
2014-10-16, ,30, 
2014-10-17, ,31, 
2014-10-18, ,18, 
2014-10-19, ,20, 
2014-10-20, ,14, 
2014-10-21, ,9, 
2014-10-22, ,10, 
2014-10-23, ,16, 
2014-10-24, ,28, 
2014-10-25, ,29, 
2014-10-26, ,29, 
2014-10-27, ,21, 
2014-10-28, ,20, 
2014-10-29, ,21, 
2014-10-30, ,24, 
2014-10-31, ,23, 
2014-11-01, ,27, 
2014-11-02, ,22, 
2014-11-03, ,20, 
2014-11-04, ,10, 
2014-11-05, ,8, 
2014-11-06, ,9, 
2014-11-08, ,10, 
2014-11-09, ,16, 
2014-11-10, ,23, 
2014-11-11, ,19, 
2014-11-12, ,18, 
2014-11-13, ,22, 
2014-11-14, ,15, 
2014-11-15, ,31, 
2014-11-16, ,19, 
2014-11-17, ,9, 
2014-11-18, ,8, 
2014-11-19, ,26, 
2014-11-20, ,21, 
2014-11-21, ,17, 
2014-11-22, ,35, 
2014-11-23, ,9, 
2014-11-24, ,29, 
2014-11-25, ,15, 
2014-11-26, ,13, 
2014-11-27, ,16, 
2014-11-28, ,25, 
2014-11-29, ,28, 
2014-11-30, ,19, 
2014-12-01, ,16, 
2014-12-02, ,32, 
2014-12-03, ,30, 
2014-12-04, ,25, 
2014-12-05, ,35, 
2014-12-06, ,18, 
2014-12-07, ,15, 
2014-12-08, ,16, 
2014-12-09, ,16, 
2014-12-10, ,14, 
2014-12-11, ,23, 
2014-12-12, ,39, 
2014-12-13, ,32, 
2014-12-14, ,36, 
2014-12-15, ,8, 
2014-12-16, ,18, 
2014-12-17, ,20, 
2014-12-18, ,17, 
2014-12-19, ,11, 
2014-12-20, ,13, 
2014-12-21, ,14, 
2014-12-22, ,10, 
2014-12-23, ,20, 
2014-12-24, ,9, 
2014-12-25, ,16, 
2014-12-26, ,28, 
2014-12-27, ,9, 
2014-12-28, ,8, 
2014-12-29, ,9, 
2014-07-02, ,35, 
2014-07-03, ,16, 
2014-07-04, ,17, 
2014-07-05, ,16, 
2014-07-06, ,24, 
2014-07-07, ,18, 
2014-07-08, ,14, 
2014-07-09, ,17, 
2014-07-10, ,18, 
2014-07-14, ,15, 
2014-07-15, ,20, 
2014-07-16, ,17, 
2014-07-17, ,17, 
2014-07-18, ,13, 
2014-07-19, ,18, 
2014-07-20, ,17, 
2014-07-21, ,22, 
2014-07-22, ,15, 
2014-07-23, ,27, 
2014-07-24, ,14, 
2014-07-25, ,20, 
2014-07-26, ,21, 
2014-07-30, ,19, 
2014-07-31, ,17, 
2014-08-01, ,13, 
2014-08-02, ,8, 
2014-08-03, ,9, 
2014-08-04, ,11, 
2014-08-05, ,15, 
2014-08-06, ,15, 
2014-08-07, ,18, 
2014-08-08, ,14, 
2014-08-09, ,15, 
2014-08-10, ,12, 
2014-08-11, ,12, 
2014-08-12, ,15, 
2014-08-13, ,12, 
2014-08-14, ,18, 
2014-08-15, ,18, 
2014-08-16, ,8, 
2014-08-17, ,10, 
2014-08-18, ,18, 
2014-08-20, ,14, 
2014-08-21, ,9, 
2014-08-22, ,16, 
2014-08-23, ,13, 
2014-08-24, ,10, 
2014-08-25, ,18, 
2014-08-26, ,18, 
2014-08-27, ,16, 
2014-08-29, ,13, 
2014-08-30, ,23, 
2014-08-31, ,23, 
2014-09-01, ,21, 
2014-09-02, ,13, 
2014-09-03, ,17, 
2014-09-04, ,26, 
2014-09-05, ,18, 
2014-09-07, ,7, 
2014-09-08, ,6, 
2014-09-09, ,14, 
2014-09-10, ,9, 
2014-09-11, ,12, 
2014-09-12, ,18, 
2014-09-13, ,10, 
2014-09-14, ,6, 
2014-09-15, ,7, 
2014-09-16, ,10, 
2014-09-17, ,8, 
2014-09-18, ,11, 
2014-09-19, ,7, 
2014-09-20, ,12, 
2014-09-21, ,16, 
2014-09-22, ,9, 
2014-09-23, ,11, 
2014-09-24, ,22, 
2014-09-25, ,21, 
2014-09-26, ,13, 
2014-09-27, ,17, 
2014-09-28, ,15, 
2014-09-29, ,13, 
2014-09-30, ,15, 
2014-10-01, ,12, 
2014-04-02, ,28, 
2014-04-03, ,85, 
2014-04-04, ,19, 
2014-04-05, ,29, 
2014-04-06, ,27, 
2014-04-07, ,16, 
2014-04-08, ,23, 
2014-04-09, ,29, 
2014-04-10, ,92, 
2014-04-11, ,17, 
2014-04-12, ,22, 
2014-04-13, ,58, 
2014-04-14, ,19, 
2014-04-15, ,39, 
2014-04-16, ,16, 
2014-04-17, ,24, 
2014-04-18, ,26, 
2014-04-19, ,33, 
2014-04-20, ,14, 
2014-04-24, ,35, 
2014-04-25, ,19, 
2014-04-26, ,18, 
2014-04-27, ,222, 
2014-04-28, ,45, 
2014-04-29, ,29, 
2014-04-30, ,38, 
2014-05-01, ,103, 
2014-05-03, ,28, 
2014-05-08, ,130, 
2014-05-12, ,68, 
2014-05-22, ,23, 
2014-05-23, ,22, 
2014-05-24, ,23, 
2014-05-25, ,16, 
2014-05-26, ,15, 
2014-05-27, ,18, 
2014-05-28, ,15, 
2014-05-29, ,15, 
2014-05-30, ,16, 
2014-05-31, ,18, 
2014-06-01, ,17, 
2014-06-02, ,16, 
2014-06-03, ,19, 
2014-06-04, ,29, 
2014-06-05, ,17, 
2014-06-06, ,19, 
2014-06-07, ,23, 
2014-06-08, ,18, 
2014-06-09, ,27, 
2014-06-10, ,29, 
2014-06-11, ,25, 
2014-06-12, ,29, 
2014-06-13, ,23, 
2014-06-14, ,74, 
2014-06-15, ,31, 
2014-06-16, ,24, 
2014-06-18, ,30, 
2014-06-19, ,21, 
2014-06-20, ,17, 
2014-06-21, ,25, 
2014-06-22, ,18, 
2014-06-23, ,17, 
2014-06-24, ,23, 
2014-06-25, ,27, 
2014-06-26, ,23, 
2014-06-27, ,25, 
2014-06-28, ,31, 
2014-06-29, ,21, 
2014-06-30, ,16, 
2014-07-01, ,22, 
2014-01-02, ,25, 
2014-01-03, ,16, 
2014-01-04, ,17, 
2014-01-05, ,19, 
2014-01-06, ,16, 
2014-01-07, ,15, 
2014-01-08, ,25, 
2014-01-09, ,18, 
2014-01-16, ,36, 
2014-01-17, ,24, 
2014-01-18, ,34, 
2014-01-19, ,27, 
2014-01-20, ,24, 
2014-01-21, ,21, 
2014-01-22, ,41, 
2014-01-23, ,50, 
2014-01-24, ,57, 
2014-01-25, ,22, 
2014-01-26, ,24, 
2014-01-27, ,21, 
2014-01-28, ,59, 
2014-01-29, ,47, 
2014-02-07, ,15, 
2014-02-08, ,18, 
2014-02-09, ,12, 
2014-02-10, ,16, 
2014-02-11, ,17, 
2014-02-12, ,21, 
2014-02-13, ,21, 
2014-02-14, ,16, 
2014-02-15, ,17, 
2014-02-16, ,16, 
2014-02-17, ,15, 
2014-02-18, ,25, 
2014-02-19, ,28, 
2014-02-20, ,23, 
2014-02-21, ,26, 
2014-02-22, ,23, 
2014-02-23, ,17, 
2014-02-24, ,20, 
2014-02-25, ,16, 
2014-02-26, ,24, 
2014-02-27, ,24, 
2014-02-28, ,25, 
2014-03-01, ,17, 
2014-03-02, ,26, 
2014-03-03, ,8, 
2014-03-04, ,13, 
2014-03-05, ,20, 
2014-03-06, ,11, 
2014-03-07, ,31, 
2014-03-08, ,20, 
2014-03-09, ,17, 
2014-03-10, ,11, 
2014-03-11, ,11, 
2014-03-12, ,19, 
2014-03-13, ,97, 
2014-03-14, ,42, 
2014-03-15, ,38, 
2014-03-16, ,23, 
2014-03-17, ,34, 
2014-03-18, ,24, 
2014-03-19, ,28, 
2014-03-20, ,166, 
2014-03-21, ,95, 
2014-03-22, ,26, 
2014-03-23, ,28, 
2014-03-24, ,33, 
2014-03-25, ,26, 
2014-03-26, ,38, 
2014-03-27, ,35, 
2014-03-28, ,45, 
2014-03-29, ,12, 
2014-03-30, ,22, 
2014-03-31, ,23, 
2014-04-01, ,17, 
2017-04-01, , ,42
2017-03-25, , ,42
2014-01-30, , , 
2014-01-31, , , 
2014-02-01, , , 
2014-02-02, , , 
2014-02-03, , , 
2014-02-04, , , 
2014-02-05, , , 
2014-02-06, , , 
