date, pm25, pm10
2019-09-04,13,15
2019-09-05,9,16
2019-09-06,4,33
2019-09-07,8,31
2019-09-08,17,31
2019-09-09,13,30
2019-09-10,16,42
2019-09-11,12,27
2019-09-12,12, 
2019-09-14,8,28
2019-09-17,12,49
2019-09-18,10,47
2019-09-19,15,57
2019-09-20,18,41
2019-09-21,19,42
2019-09-22,18,43
2019-09-23,14,41
2019-09-24,15,47
2019-09-25,14,49
2019-09-26,13,48
2019-09-27,18,48
2019-09-28,18,41
2019-09-29,13,31
2019-09-30,13,40
2019-10-01,8,34
2019-04-02, , 
2019-04-03, , 
2019-04-04, , 
2019-04-05, , 
2019-04-06, , 
2019-04-07, , 
2019-04-08, , 
2019-04-09, , 
2019-04-10, , 
2019-04-11, , 
2019-04-12, , 
2019-04-13, , 
2019-04-14, , 
2019-04-15, , 
2019-04-16, , 
2019-04-17, , 
2019-04-18, , 
2019-04-19, , 
2019-04-20, , 
2019-04-21, , 
2019-04-22, , 
2019-04-23, , 
2019-04-24, , 
2019-04-25, , 
2019-04-26, , 
2019-04-27, , 
2019-04-28, , 
2019-04-29, , 
2019-04-30, , 
2019-05-01, , 
2019-05-02, , 
2019-05-03, , 
2019-05-04, , 
2019-05-05, , 
2019-05-06, , 
2019-05-07, , 
2019-05-08, , 
2019-05-09, , 
2019-05-10, , 
2019-05-11, , 
2019-05-12, , 
2019-05-13, , 
2019-05-14, , 
2019-05-15, , 
2019-05-16, , 
2019-05-17, , 
2019-05-18, , 
2019-05-19, , 
2019-05-20, , 
2019-05-21, , 
2019-05-22, , 
2019-05-23, , 
2019-06-11, , 
2019-06-12, , 
2019-06-13, , 
2019-06-14, , 
2019-06-15, , 
2019-06-17, , 
2019-06-18, , 
2019-06-19, , 
2019-06-20, , 
2019-06-21, , 
2019-06-22, , 
2019-06-23, , 
2019-06-24, , 
2019-06-25, , 
2019-06-26, , 
2019-06-27, , 
2019-06-28, ,36
2019-06-29,16,37
2019-06-30,18,38
2019-07-01,19,37
2019-01-02, , 
2019-01-09, , 
2019-01-10, , 
2019-01-11, , 
2019-01-12, , 
2019-01-13, , 
2019-01-14, , 
2019-01-15, , 
2019-01-16, , 
2019-01-17, , 
2019-01-18, , 
2019-01-19, , 
2019-01-22, , 
2019-01-23, , 
2019-01-24, , 
2019-01-25, , 
2019-01-26, , 
2019-01-27, , 
2019-01-28, , 
2019-01-29, , 
2019-01-30, , 
2019-01-31, , 
2019-02-01, , 
2019-02-02, , 
2019-02-03, , 
2019-02-05, , 
2019-02-06, , 
2019-02-07, , 
2019-02-08, , 
2019-02-09, , 
2019-02-10, , 
2019-02-11, , 
2019-02-12, , 
2019-02-14, , 
2019-02-15, , 
2019-02-16, , 
2019-02-17, , 
2019-02-18, , 
2019-02-19, , 
2019-02-20, , 
2019-02-21, , 
2019-02-22, , 
2019-02-23, , 
2019-02-24, , 
2019-02-25, , 
2019-02-26, , 
2019-02-27, , 
2019-02-28, , 
2019-03-01, , 
2019-03-02, , 
2019-03-06, , 
2019-03-07, , 
2019-03-08, , 
2019-03-09, , 
2019-03-10, , 
2019-03-11, , 
2019-03-12, , 
2019-03-13, , 
2019-03-14, , 
2019-03-15, , 
2019-03-16, , 
2019-03-17, , 
2019-03-18, , 
2019-03-19, , 
2019-03-20, , 
2019-03-21, , 
2019-03-22, , 
2019-03-23, , 
2019-03-24, , 
2019-03-25, , 
2019-03-26, , 
2019-03-27, , 
2019-03-28, , 
2018-10-02,7,25
2018-10-03,7,33
2018-10-04,10,33
2018-10-05,11,31
2018-10-06,10,17
2018-10-07,7, 
2018-10-17,7,23
2018-10-18,4,31
2018-10-19,7,19
2018-10-20,4, 
2018-11-08,41,99
2018-11-09,37,22
2018-11-10,8,25
2018-11-11,8,30
2018-11-12,34,17
2018-11-13,11,25
2018-11-14,7,52
2018-11-15,19,92
2018-11-16,42,102
2018-11-17,34,114
2018-11-18,49,81
2018-11-19,41,24
2018-11-20,17,33
2018-11-21,15,19
2018-11-22,17,14
2018-11-23,12,46
2018-11-24,31,104
2018-11-25,43,99
2018-11-26,39,54
2018-11-27,11, 
2018-12-04,14,40
2018-12-05,11,16
2018-12-06,6,54
2018-12-07,42,84
2018-12-08,28,40
2018-12-09,14,51
2018-12-10,25,69
2018-12-11,30,31
2018-12-12,15,25
2018-12-13,74, 
2018-12-14,28,69
2018-12-15,9,130
2018-12-16,39,187
2018-12-17,70,107
2018-12-18,31,138
2018-12-19,33,150
2018-12-20,41,47
2018-12-21,10,93
2018-12-22,26,160
2018-12-23,69,101
2018-12-24,43,74
2018-12-25,25,95
2018-12-26,56,38
2018-12-27,22,69
2018-12-28,26,72
2018-12-29,22,14
2018-12-30,12,19
2018-12-31,12, 
2018-07-02,2,84
2018-07-03,3,75
2018-07-04,2,58
2018-07-05,3,67
2018-07-06,2,45
2018-07-07,2,50
2018-07-08,3,40
2018-07-09,3,63
2018-07-10,3,55
2018-07-11,3,49
2018-07-12,2,60
2018-07-13,2,54
2018-07-14,2,37
2018-07-15,2,91
2018-07-16,2,106
2018-07-17,3,73
2018-07-18,3,69
2018-07-19,2,60
2018-07-20,2,62
2018-07-21,2,59
2018-07-22,3,78
2018-07-23,2,67
2018-07-24,2,85
2018-07-25,2,114
2018-07-26,2,59
2018-07-27,2,81
2018-07-28,2,79
2018-07-29,3, 
2018-07-31,2,47
2018-08-01,2,44
2018-08-02,2,36
2018-08-03,3,41
2018-08-04,3,46
2018-08-05,2,28
2018-08-06,2,38
2018-08-07,3,35
2018-08-08,3,36
2018-08-09,2,56
2018-08-10,3,48
2018-08-11,3,43
2018-08-12,3,47
2018-08-13,3,63
2018-08-14,3,54
2018-08-15,3,54
2018-08-16,2,51
2018-08-17,3,48
2018-09-07,6,32
2018-09-08,10,35
2018-09-09,12,18
2018-09-10,15,25
2018-09-11,8,23
2018-09-12,5,41
2018-09-13,13,34
2018-09-14,8,35
2018-09-15,8,33
2018-09-16,13,33
2018-09-17,15,27
2018-09-18,12,38
2018-09-19,12,27
2018-09-20,7,38
2018-09-21,12,39
2018-09-22,15,25
2018-09-24,16,51
2018-09-25,19,59
2018-09-26,21,48
2018-09-27,19,19
2018-09-28,6,33
2018-09-29,13,23
2018-09-30,3,18
2018-10-01,7,22
2018-04-02,2,59
2018-04-03,2,63
2018-04-04,2,63
2018-04-05,3,59
2018-04-06,3,97
2018-04-07,2,84
2018-04-08,3,33
2018-04-09,3,70
2018-04-10,3,22
2018-04-11,3, 
2018-04-12,3,69
2018-04-13,3,104
2018-04-14,3,114
2018-04-15,3,73
2018-04-16,2,67
2018-04-17,2,69
2018-04-18,2,63
2018-04-19,2,35
2018-04-20,3,39
2018-04-21,3,60
2018-04-22,3,68
2018-04-23,2,31
2018-04-24,3,37
2018-04-25,3,42
