date, pm25, pm10, o3, so2
2018-12-09, ,60,31,14
2018-12-16, ,69,40,16
2018-12-23, ,63,34,20
2018-12-27, ,55,15,9
2018-07-01, ,56,42,1
2018-07-18, ,35,13,2
2018-07-22, ,46,36,8
2018-07-30, ,42,33,2
2018-08-12, ,28,28,1
2018-09-03, ,43,36,10
2018-09-30, ,36,18,2
2018-06-17, ,30,37,2
2018-06-24, ,30,35,1
2018-01-04, ,117,4, 
2018-01-18, ,42,6, 
2018-03-19, ,62,20, 
2018-03-25, ,63,45, 
2017-10-04, ,67,5,10
2017-10-23, ,55,8,10
2017-11-08, ,57,14,12
2017-11-22, ,73,14,11
2017-12-05, ,118,7,31
2017-12-07, ,83,9,12
2017-07-02, ,37,12,8
2017-07-17, ,51,28,8
2017-07-22, ,42,20,10
2017-07-23, ,44,27,13
2017-07-24, ,52,18,14
2017-07-25, ,35,8,12
2017-07-30, ,43,27,14
2017-08-02, ,55,24,10
2017-08-15, ,55, ,6
2017-08-20, ,39, ,9
2017-08-27, ,82, ,9
2017-09-11, ,58, ,9
2017-05-31, ,41, ,7
2017-06-01, ,51, ,7
2017-06-02, ,33, ,7
2017-06-03, ,50,20,8
2017-11-12, , ,4,11
2020-03-02, , , , 
