date, pm25, pm10
2019-12-27,42,58
2019-12-28,32,57
2019-12-29,125, 
2019-07-02,19,49
2019-07-03,18,54
2019-07-04,19,61
2019-07-05,22,78
2019-07-06,25,52
2019-07-07,17,34
2019-07-08,13,59
2019-07-09,16,74
2019-07-10,21,68
2019-07-11,23,57
2019-07-12,16,45
2019-07-13,12,40
2019-07-14,15,46
2019-07-15,19,59
2019-07-16,21,58
2019-07-18,12,60
2019-07-19,18,66
2019-07-20,18,59
2019-07-21,19,62
2019-07-22,19,47
2019-07-23,17,52
2019-07-24,13,35
2019-07-25,11,42
2019-07-26,15,37
2019-07-27,11,39
2019-07-28,14,44
2019-07-29,18,48
2019-07-30,17,63
2019-07-31,21,83
2019-08-01,26,62
2019-08-02,18,45
2019-08-03,11,44
2019-08-04,10,33
2019-08-05,9,48
2019-08-06,10,59
2019-08-07,17,58
2019-08-08,18,59
2019-08-09,18,65
2019-08-10,19,57
2019-08-11,19,35
2019-08-12,10,60
2019-08-13,20,78
2019-08-14,20,56
2019-08-15,16,64
2019-08-16,17,56
2019-08-17,14,67
2019-08-18,19,60
2019-08-19,20,49
2019-08-20,14,61
2019-08-21,18,39
2019-08-22,12,33
2019-08-23,11,54
2019-08-24,11,45
2019-08-25,13,38
2019-08-26,17,49
2019-08-27,13,64
2019-08-28,21,67
2019-08-29,25,56
2019-08-30,18,55
2019-08-31,16,69
2019-09-01,20,38
2019-09-02,16,42
2019-09-03,12,47
2019-09-04,10,15
2019-09-05,6,21
2019-09-06,8,53
2019-09-07,20,33
2019-09-08,18, 
2019-09-12,13,37
2019-09-13,11, 
2019-09-16,13,29
2019-09-17,11,55
2019-09-18,16,75
2019-09-19,18,80
2019-09-20,25,53
2019-09-21,22,41
2019-09-22,13,34
2019-09-23,16,41
2019-09-24,15,45
2019-09-25,15,64
2019-09-26,21,58
2019-09-27,20,53
2019-09-28,19,40
2019-09-29,13,25
2019-09-30,7,22
2019-10-01,7,23
2019-04-02, , 
2019-04-03, , 
2019-04-04, , 
2019-04-05, , 
2019-04-06, , 
2019-04-07, , 
2019-04-08, , 
2019-04-09, , 
2019-04-10, , 
2019-04-11, , 
2019-04-12, , 
2019-04-13, , 
2019-04-14, , 
2019-04-15, , 
2019-04-16, , 
2019-04-17, , 
2019-04-18, , 
2019-04-19, , 
2019-04-20, , 
2019-04-21, , 
2019-04-22, , 
2019-04-23, , 
2019-04-24, , 
2019-04-25, , 
2019-04-26, , 
2019-04-27, , 
2019-04-28, , 
2019-04-29, , 
2019-04-30, , 
2019-05-01, , 
2019-05-02, , 
2019-05-03, , 
2019-05-04, , 
2019-05-05, , 
2019-05-06, , 
2019-05-07, , 
2019-05-08, , 
2019-05-09, , 
2019-05-10, , 
2019-05-11, , 
2019-05-12, , 
2019-05-13, , 
2019-05-14, , 
2019-05-15, , 
2019-05-16, , 
2019-05-17, , 
2019-05-18, , 
2019-05-19, , 
2019-05-20, , 
2019-05-21, , 
2019-05-22, , 
2019-05-23, , 
2019-05-24, , 
2019-05-25, , 
2019-05-26, , 
2019-05-27, , 
2019-05-28, , 
2019-05-29, , 
2019-05-30, , 
2019-05-31, , 
2019-06-01, , 
2019-06-02, , 
2019-06-03, , 
2019-06-04, , 
2019-06-05, , 
2019-06-06, , 
2019-06-07, , 
2019-06-08, , 
2019-06-09, , 
2019-06-10, , 
2019-06-11, , 
2019-06-12, , 
2019-06-13, , 
2019-06-14, , 
2019-06-15, , 
2019-06-17, , 
2019-06-18, , 
2019-06-19, , 
2019-06-20, , 
2019-06-21, , 
2019-06-22, , 
2019-06-23, , 
2019-06-24, , 
2019-06-25, , 
2019-06-26, , 
2019-06-27, , 
2019-06-28, ,46
2019-06-29,15,49
2019-06-30,16,49
2019-07-01,17,62
2019-01-02, , 
2019-01-03, , 
2019-01-04, , 
2019-01-05, , 
2019-01-06, , 
2019-01-07, , 
2019-01-08, , 
2019-01-09, , 
2019-01-10, , 
2019-01-11, , 
2019-01-12, , 
2019-01-13, , 
2019-01-14, , 
2019-01-15, , 
2019-01-16, , 
2019-01-17, , 
2019-01-18, , 
2019-01-19, , 
2019-01-20, , 
2019-01-21, , 
2019-01-22, , 
2019-01-23, , 
2019-01-24, , 
2019-01-25, , 
2019-01-26, , 
2019-01-27, , 
2019-01-28, , 
2019-01-29, , 
2019-01-30, , 
2019-01-31, , 
2019-02-01, , 
2019-02-02, , 
2019-02-03, , 
2019-02-04, , 
2019-02-05, , 
2019-02-06, , 
2019-02-07, , 
2019-02-08, , 
2019-02-09, , 
2019-02-10, , 
2019-02-11, , 
2019-02-12, , 
2019-02-14, , 
2019-02-15, , 
2019-02-16, , 
2019-02-17, , 
2019-02-18, , 
2019-02-19, , 
2019-02-20, , 
2019-02-21, , 
2019-02-22, , 
2019-02-23, , 
2019-02-24, , 
2019-02-25, , 
2019-02-26, , 
2019-02-27, , 
2019-02-28, , 
2019-03-01, , 
2019-03-06, , 
2019-03-07, , 
2019-03-08, , 
2019-03-09, , 
2019-03-10, , 
2019-03-11, , 
2019-03-12, , 
2019-03-13, , 
2019-03-14, , 
2019-03-15, , 
2019-03-16, , 
2019-03-17, , 
2019-03-18, , 
2019-03-19, , 
2019-03-20, , 
2019-03-21, , 
2019-03-22, , 
2019-03-23, , 
2019-03-24, , 
2019-03-25, , 
2019-03-26, , 
2019-03-27, , 
2019-03-28, , 
2019-03-29, , 
2019-03-30, , 
2019-03-31, , 
2019-04-01, , 
2018-10-02,7,18
2018-10-03,6,11
2018-10-04,7,31
2018-10-05,14,33
2018-10-06,16,30
2018-10-07,16,27
2018-10-08,17,20
2018-10-09,16,45
2018-10-10,14,32
2018-10-11,14,16
2018-10-12,8,120
2018-10-13,8,19
2018-10-14,19,8
2018-10-15,20,26
2018-10-16,17,58
2018-10-17,27,74
2018-10-18,30,51
2018-10-19,23,92
2018-10-20,45, 
2018-11-08,32,79
2018-11-09,33,28
2018-11-10,15,25
2018-11-11,15,80
2018-11-12,41,113
2018-11-13,55,38
2018-11-14,10,74
2018-11-15,20,147
2018-11-16,44,150
2018-11-17,47,153
2018-11-18,53,77
2018-11-19,40,62
2018-11-20,34,65
2018-11-21,30,92
2018-11-22,46,75
2018-11-23,39,116
2018-11-24,45,140
2018-11-25,54,85
2018-11-26,24,63
2018-11-27,11, 
2018-12-04,29,32
2018-12-05,14,29
2018-12-06,20,89
2018-12-07,39,83
2018-12-08,43,52
2018-12-09,29,56
2018-12-10,33,46
2018-12-11,25,60
2018-12-12,25,128
2018-12-13,51,33
2018-12-14,9,25
2018-12-15,5,90
2018-12-16,32,97
2018-12-17,43,77
2018-12-18,23,155
2018-12-19,47,176
2018-12-20,60,54
2018-12-21,8,118
2018-12-22,31,142
2018-12-23,41,79
2018-12-24,23,73
2018-12-25,34,110
2018-12-26,68,92
2018-12-27,44,94
2018-12-28,26,63
2018-12-29,19,17
2018-12-30,17,25
2018-12-31,27, 
2018-07-27,26,74
2018-07-28,26,70
2018-07-29,26,84
2018-07-31,13,46
2018-08-01,14,39
2018-08-02,13,34
2018-09-06,6,28
2018-09-07,9,25
2018-09-08,10,20
2018-09-09,10,35
2018-09-10,6,15
2018-09-11,6,13
2018-09-12,8,24
2018-09-13,14,28
2018-09-14,6,36
2018-09-15,8,29
2018-09-16,13,30
2018-09-17,25,51
2018-09-18,10,23
2018-09-19,17,26
2018-09-20,9,41
2018-09-21,18,37
2018-09-22,23,61
2018-09-23,11,23
2018-09-24,13,17
2018-09-25,19,42
2018-09-26,21,68
