date, pm25, o3
2019-12-25,34,30
2019-12-26,27,27
2019-12-27,19,25
2019-12-28,16,23
2019-12-29,38,26
2019-12-30,58, 
2019-07-02,50,24
2019-07-03,33,24
2019-07-04,59,19
2019-07-05,71,17
2019-07-06,44,16
2019-07-07,35,15
2019-07-08,24,20
2019-07-09,65,25
2019-07-10,57,20
2019-07-11,41,27
2019-07-12,48,41
2019-07-13,32,44
2019-07-14,53,25
2019-07-15,68,18
2019-07-16,58,16
2019-07-17,38,15
2019-07-18,32,19
2019-07-19,36,20
2019-07-20,40,19
2019-07-21,59,18
2019-07-22,54,19
2019-07-23,43,26
2019-07-24,28,39
2019-07-25,30,40
2019-07-26,39,35
2019-07-27,34,25
2019-07-28,41,17
2019-07-29,50,23
2019-07-30,39,15
2019-07-31,59,16
2019-08-01,52,18
2019-08-02,29,22
2019-08-03,26,23
2019-08-04,31,20
2019-08-05,24,18
2019-08-06,23,15
2019-08-07,51,15
2019-08-08,49,15
2019-08-09,54,15
2019-08-10,49,16
2019-08-11,37,17
2019-08-12,38,15
2019-08-13,34,18
2019-08-14,36,17
2019-08-15,47,20
2019-08-16,50,18
2019-08-17,43,15
2019-08-18,58,13
2019-08-19,50,14
2019-08-20,48,16
2019-08-21,62,19
2019-08-22,30,20
2019-08-23,23,21
2019-08-24,35,27
2019-08-25,63,23
2019-08-26,52,21
2019-08-27,62,16
2019-08-28,52,20
2019-08-29,46,16
2019-08-30,35,19
2019-08-31,52,20
2019-09-01,41,30
2019-09-02,30,25
2019-09-03,36,21
2019-09-04,28,17
2019-09-05,21,23
2019-09-06,28,25
2019-09-07,34,26
2019-09-08,29,21
2019-09-09,25,18
2019-09-10,28,18
2019-09-11,32,24
2019-09-12,24,19
2019-09-13,21,21
2019-09-14,30,28
2019-09-15,34,31
2019-09-16,29,28
2019-09-17,26,36
2019-09-18,28,18
2019-09-19,46,20
2019-09-20,55,22
2019-09-21,27,29
2019-09-22,37,22
2019-09-23,30,20
2019-09-24,30,23
2019-09-25,20,23
2019-09-26,22,26
2019-09-27,22,22
2019-09-28,23,20
2019-09-29,31,19
2019-09-30,31,13
2019-10-01,35,20
2019-04-02,25,30
2019-04-03,26,27
2019-04-04,31,32
2019-04-05,48,27
2019-04-06,85,28
2019-04-07,92,39
2019-04-08,50,54
2019-04-09,31,39
2019-04-10,27,33
2019-04-11,48,38
2019-04-12,55,28
2019-04-13,63,38
2019-04-14,52,36
2019-04-15,15,36
2019-04-16,27,31
2019-04-17,32,27
2019-04-18,74,40
2019-04-19,38,37
2019-04-20,18,36
2019-04-21,16,34
2019-04-22,24,29
2019-04-23,31,30
2019-04-24,59,26
2019-04-25,65,38
2019-04-26,19,45
2019-04-27,29,38
2019-04-28,30,32
2019-04-29,33,25
2019-04-30,65,21
2019-05-01,65,24
2019-05-02,74,23
2019-05-03,63,20
2019-05-04,58,34
2019-05-05,47,30
2019-05-06,35,27
2019-05-07,50,29
2019-05-08,62,27
2019-05-09,83,28
2019-05-10,108,32
2019-05-11,45,21
2019-05-12,25,27
2019-05-13,21,29
2019-05-14,38,26
2019-05-15,49,28
2019-05-16,46,30
2019-05-17,43,17
2019-05-18,56,27
2019-05-19,87,28
2019-05-20,86,22
2019-05-21,80,29
2019-05-22,93,26
2019-05-23,95,21
2019-05-24,63,19
2019-05-25,57,21
2019-05-26,46,26
2019-05-27,49,24
2019-05-28,49,23
2019-05-29,46,23
2019-05-30,62,21
2019-05-31,56,18
2019-06-01,34,18
2019-06-02,31,15
2019-06-03,23,16
2019-06-04,28,19
2019-06-05,23,22
2019-06-06,33,27
2019-06-07,54,35
2019-06-08,64,30
2019-06-09,59,29
2019-06-10,74,35
2019-06-11,67,40
2019-06-12,43,36
2019-06-13,39,42
2019-06-14,29,31
2019-06-15,48,15
2019-06-16,41,17
2019-06-17,47, 
2019-06-18,46, 
2019-06-19,50,15
2019-06-20,47,17
2019-06-21,65,15
2019-06-22,66,17
2019-06-23,68,23
2019-06-24,61,25
2019-06-25,66,31
2019-06-26,24,20
2019-06-27,64,18
2019-06-28,68,19
2019-06-29,64,21
2019-06-30,70,22
2019-07-01,62,23
2019-01-02,75,9
2019-01-03,29,19
2019-01-04,30,27
2019-01-05,36,29
2019-01-06,44,28
2019-01-07,22,24
2019-01-08,25,22
2019-01-09,28,29
2019-01-10,33,30
2019-01-11,26,25
2019-01-12,20,28
2019-01-13,36,25
2019-01-14,26,23
2019-01-15,33,9
2019-01-16,33,14
2019-01-17,19,15
2019-01-18,34,20
2019-01-19,47,24
2019-01-20,23,28
2019-01-21,29,28
2019-01-22,29,29
2019-01-23,40,25
2019-01-24,28,29
2019-01-25,35,28
2019-01-26,19,29
2019-01-27,15,29
2019-01-28,24,28
2019-01-29,24,28
2019-01-30,19,24
2019-01-31,16,15
2019-02-01,14,16
2019-02-02,33,20
2019-02-03,50,20
2019-02-04,60,22
2019-02-05,68,17
2019-02-06,68,18
2019-02-07,64,26
2019-02-08,51, 
2019-02-09,16, 
2019-02-10,23, 
2019-02-11,19,17
2019-02-12,38,27
2019-02-13,28,33
2019-02-14,24,30
2019-02-15,29,29
2019-02-16,53,30
2019-02-17,93,25
2019-02-18,68,22
2019-02-19,30,20
2019-02-20,24,30
2019-02-21,19,22
2019-02-22,26,8
2019-02-23,51,23
2019-02-24,90,33
2019-02-25,26,32
2019-02-26,28,22
2019-02-27,40,14
2019-02-28,53,16
2019-03-01,57,20
2019-03-02,42,18
2019-03-03,48,17
2019-03-04,50,20
2019-03-05,34,32
2019-03-06,26,29
2019-03-07,35,22
2019-03-08,44,19
2019-03-09,38,30
2019-03-10,58,20
2019-03-11,65,18
2019-03-12,59,17
2019-03-13,49,22
2019-03-14,61,33
2019-03-15,80,33
2019-03-16,16,25
2019-03-17,13,33
2019-03-18,23,30
2019-03-19,33,26
2019-03-20,30,31
2019-03-22,34,36
2019-03-23,43,34
2019-03-24,38,27
2019-03-25,49,31
2019-03-26,59,30
2019-03-27,40,35
2019-03-28,33,36
2019-03-29,25,30
2019-03-30,28,32
2019-03-31,39,24
2019-04-01,18,22
2018-10-02,26,21
2018-10-03,29,21
