date, pm25, o3
2019-12-18,25,34
2019-12-19,24,24
2019-12-20,47,32
2019-12-21,19,25
2019-12-22,49,18
2019-12-23,66,33
2019-12-24,32,31
2019-12-25,24,33
2019-12-26,30,35
2019-12-27,17,30
2019-12-28,27,31
2019-12-29,38,32
2019-12-30,36, 
2019-07-02,46,30
2019-07-03,60,28
2019-07-04,64,30
2019-07-05,66,33
2019-07-06,55,38
2019-07-07,51,31
2019-07-08,53,29
2019-07-09,50,36
2019-07-10,56,35
2019-07-11,52,31
2019-07-12,51,36
2019-07-13,56,34
2019-07-14,58,37
2019-07-15,61,42
2019-07-16,71,20
2019-07-17,51,25
2019-07-18,62,31
2019-07-19,48,29
2019-07-20,37,30
2019-07-21,34,29
2019-07-22,41,28
2019-07-23,43,35
2019-07-24,51,35
2019-07-25,62,31
2019-07-26,58,34
2019-07-27,62,33
2019-07-28,50,29
2019-07-29,47,34
2019-07-30,56,32
2019-07-31,65,36
2019-08-01,53,36
2019-08-02,54,33
2019-08-03,48,35
2019-08-04,44,32
2019-08-05,40,33
2019-08-06,40,31
2019-08-07,50,20
2019-08-08,48,37
2019-08-09,45,36
2019-08-10,52,32
2019-08-11,45,23
2019-08-12,39,30
2019-08-13,41,36
2019-08-14,55,37
2019-08-17,24,35
2019-08-18,43,29
2019-08-19,35,30
2019-08-20,39,32
2019-08-21,38,35
2019-08-22,67,30
2019-08-23,57,27
2019-08-24,56,38
2019-08-25,45,44
2019-08-26,52,34
2019-08-27,59,29
2019-08-28,49,29
2019-08-29,47,29
2019-08-30,48,32
2019-08-31,57,31
2019-09-01,48,35
2019-09-02,50,33
2019-09-03,53,29
2019-09-04,56,30
2019-09-05,56,29
2019-09-06,58,20
2019-09-07,48,34
2019-09-08,55,28
2019-09-09,38,29
2019-09-10,60,31
2019-09-11,52,34
2019-09-12,52,38
2019-09-13,57,42
2019-09-14,75,49
2019-09-15,73,48
2019-09-16,58,30
2019-09-17,48,27
2019-09-18,40,32
2019-09-19,46,24
2019-09-20,54,35
2019-09-21,51,38
2019-09-22,51,41
2019-09-23,60,34
2019-09-24,55,41
2019-09-25,55,33
2019-09-26,61,20
2019-09-27,38,25
2019-09-28,30,25
2019-09-29,20,31
2019-09-30,35,34
2019-10-01,35,32
2019-04-02,57,29
2019-04-03,59,28
2019-04-04,23,25
2019-04-05,32,27
2019-04-06,25,30
2019-04-07,16,34
2019-04-08,37,47
2019-04-09,59,31
2019-04-10,60,32
2019-04-11,47,33
2019-04-12,55,36
2019-04-13,57,43
2019-04-14,51,41
2019-04-15,52,40
2019-04-16,53,32
2019-04-17,26,35
2019-04-18,31,40
2019-04-19,57,38
2019-04-20,54,35
2019-04-21,32,38
2019-04-22,35,40
2019-04-23,43,36
2019-04-24,59,37
2019-04-25,58,37
2019-04-26,53,32
2019-04-27,39,32
2019-04-28,34,34
2019-04-29,37,28
2019-04-30,21,28
2019-05-01,18,37
2019-05-02,27,37
2019-05-03,30,39
2019-05-04,60,41
2019-05-05,52,38
2019-05-06,51,28
2019-05-09,18,27
2019-05-10,22,24
2019-05-11,16,28
2019-05-15,33,34
2019-05-16,51,36
2019-05-24,45,35
2019-05-25,47,31
2019-05-26,30,34
2019-05-27,29,29
2019-05-28,23,29
2019-05-29,34,35
2019-05-30,52,38
2019-05-31,59,31
2019-06-01,53,33
2019-06-02,41,33
2019-06-03,37,32
2019-06-04,27,32
2019-06-05,38,28
2019-06-06,55,29
2019-06-07,51,31
2019-06-08,44,33
2019-06-09,57,32
2019-06-10,55,38
2019-06-11,63,41
2019-06-12,60,35
2019-06-13,54,39
2019-06-14,52,33
2019-06-15,42,29
2019-06-16,39,28
2019-06-17,41,24
2019-06-18,37,31
2019-06-19,37,34
2019-06-20,32,33
2019-06-21,39,21
2019-06-22,21,31
2019-06-23,25,31
2019-06-24,32,36
2019-06-25,36,30
2019-06-26,39,34
2019-06-27,37,35
2019-06-28,38,39
2019-06-29,41,33
2019-06-30,55,37
2019-07-01,55,27
2019-01-02,25,27
2019-01-03,35,31
2019-01-04,28,28
2019-01-05,54,25
2019-01-06,67,32
2019-01-07,35,27
2019-01-08,40,30
2019-01-09,30,28
2019-01-10,60,27
2019-01-11,47,23
2019-01-12,79,32
2019-01-13,49,28
2019-01-14,35,32
2019-01-15,28,29
2019-01-16,33,30
2019-01-17,22,19
2019-01-18,49,25
2019-01-19,31,30
2019-01-20,25,25
2019-01-21,44,33
2019-01-22,35,25
2019-01-23,43,27
2019-01-24,28,26
2019-01-25,34,29
2019-01-26,29,34
2019-01-27,41,36
2019-01-28,28,33
2019-01-29,64,35
2019-01-30,100,27
2019-01-31,57,22
2019-02-01,55,24
2019-02-02,40,29
2019-02-03,31,31
2019-02-04,30,28
2019-02-05,27,32
2019-02-06,25,32
2019-02-07,21,34
2019-02-08,36,32
2019-02-09,47,31
2019-02-10,50,31
2019-02-11,29,31
2019-02-12,33,27
2019-02-13,50,27
2019-02-14,47,25
2019-02-15,19,32
2019-02-16,31,33
2019-02-17,19,32
2019-02-18,30,33
2019-02-19,24,29
2019-02-20,38,29
2019-02-21,44,30
2019-02-22,21,31
2019-02-23,17,35
2019-02-24,36,36
2019-02-25,38,35
2019-02-26,54,32
2019-02-27,68,35
2019-02-28,57,27
2019-03-01,51,23
2019-03-02,36,21
2019-03-03,47,29
2019-03-04,18,25
2019-03-05,18,31
2019-03-06,39,27
2019-03-07,38,30
2019-03-08,26,34
2019-03-09,24,29
2019-03-10,29,33
2019-03-11,22,22
2019-03-12,39,33
2019-03-13,37,36
2019-03-14,55,36
2019-03-15,31,35
2019-03-16,22,37
2019-03-17,38,45
2019-03-18,43,41
2019-03-19,63,33
2019-03-20,73,31
2019-03-21,38,33
2019-03-22,26,36
2019-03-23,25,32
2019-03-24,32,32
2019-03-25,36,35
2019-03-26,49,29
2019-03-27,65,29
2019-03-28,39,30
2019-03-29,28,37
2019-03-30,34,43
2019-03-31,61,48
2019-04-01,65,49
2018-10-02,51,26
2018-10-03,35,22
2018-10-04,32,22
2018-10-05,14,27
2018-10-06,14,31
2018-10-07,51,34
2018-10-08,38,36
2018-10-09,50,35
2018-10-10,49,34
2018-10-11,37,34
2018-10-12,41,32
2018-10-13,36,27
2018-10-14,21,33
2018-10-15,29,40
2018-10-16,29,39
2018-10-17,37,37
2018-10-18,38,38
2018-10-19,36,40
2018-10-20,36,47
2018-10-21,41,44
2018-10-22,51,36
2018-10-23,50,42
2018-10-24,59,41
2018-10-27,80,47
2018-10-28,75,46
2018-10-29,74,32
2018-10-30,76,33
2018-10-31,64,36
2018-11-01,54,43
2018-11-02,59,36
2018-11-03,49,42
2018-11-04,53,45
2018-11-05,64,31
2018-11-06,69,31
2018-11-07,57,38
2018-11-08,53,43
2018-11-09,66,38
2018-11-10,42,43
2018-11-11,44,42
2018-11-12,63,34
2018-11-13,33,34
2018-11-14,34,32
2018-11-15,28,31
2018-11-16,38,35
2018-11-17,68,38
2018-11-18,68,39
2018-11-19,65,42
2018-11-20,62,35
2018-11-21,67,24
2018-11-22,62,29
2018-11-23,33,32
2018-11-24,41,28
2018-11-25,49,32
2018-11-26,51,32
2018-11-27,37,34
2018-11-28,36,26
2018-11-29,55,26
2018-11-30,20,30
2018-12-01,40,29
2018-12-02,39,33
2018-12-03,23,29
2018-12-04,42,32
2018-12-05,32,31
2018-12-06,38,30
2018-12-07,21,29
2018-12-08,24,28
2018-12-09,44,27
2018-12-10,46,19
2018-12-11,60,29
2018-12-12,55,30
2018-12-13,61,30
2018-12-14,40,29
2018-12-15,40,20
2018-12-16,55,31
2018-12-17,59,30
2018-12-18,50,27
2018-12-19,40,29
2018-12-20,58,24
2018-12-21,68,10
2018-12-22,111,30
2018-12-23,78,34
2018-12-24,85,35
2018-12-25,88,29
2018-12-26,45,29
2018-12-27,42,26
2018-12-28,48,31
2018-12-29,33,28
2018-12-30,38,31
2018-12-31,52, 
2018-07-02,28,34
2018-07-03,26,38
2018-07-04,27,36
2018-07-05,32,39
