date, pm25, pm10, o3, no2
2019-07-05,67,49,47,17
2019-07-06,72,39,30,14
2019-07-07,62,32,58,13
2019-07-08,54,37,47,15
2019-07-09,63,48,55,20
2019-07-10,82,34,20,18
2019-07-11,57,39,34,28
2019-07-12,75,42,47,18
2019-07-13,109, ,51,23
2019-04-02,74,52,52,17
2019-04-03,81,56,41,20
2019-04-04,83,54,62,19
2019-04-05,85,54,39,22
2019-04-06,97,6,47,22
2019-04-07,25, ,49,17
2019-04-24,89,60,48,24
2019-04-25,105,53,12,29
2019-04-26,95, , , 
2019-04-30,105,51,58,22
2019-05-01,104,34,4,24
2019-05-02,80,43,43,10
2019-05-03,57,50,66,25
2019-05-04,83,65,70,27
2019-05-05,121,56,53,21
2019-05-06,107,62,42,22
2019-05-07,124, , , 
2019-05-15,150,74,65,19
2019-05-16,146, , , 
2019-05-26,83,36,52,8
2019-05-27,63,47,64,15
2019-05-28,72,52,67,16
2019-05-29,84,64,73,15
2019-05-30,90,62,63,14
2019-05-31,88,47,37,14
2019-06-01,76,34,26,8
2019-06-02,40,26,20,7
2019-06-03,57,24,17,8
2019-06-04,46,30,16,21
2019-06-05,71, ,34,20
2019-06-23,82,40,43,17
2019-06-24,85,17,25,15
2019-06-25,44,23,37,15
2019-06-26,51,33,31,20
2019-06-27,67,27,29,11
2019-06-28,45,25,35,11
2019-06-29,46,16,24,7
2019-06-30,31, , , 
2019-01-02,150,66,30,27
2019-01-03,109,69,44,34
2019-01-04,102,81,54,33
2019-01-05,110,69,44,29
2019-01-06,105,59,46,30
2019-01-07,85,63,63,28
2019-01-08,82,54,36,24
2019-01-09,61,48,36,18
2019-01-10,79,42,38,17
2019-01-11,65,58,53,25
2019-01-12,80,55,36,24
2019-01-13,82,27,28,11
2019-01-14,65,33,26,13
2019-01-15,60,50,37,20
2019-01-16,77,54,44,23
2019-01-17,88,54,36,23
2019-01-18,89,49,40,22
2019-01-19,76,57,28,19
2019-01-20,86,36,32,13
2019-01-21,64,56,27,31
2019-01-22,75,74,38,35
2019-01-23,93,57,43,29
2019-01-24,77,61,29,26
2019-01-25,82,56,34,25
2019-01-26,83,62,29,24
2019-01-27,88,32,36,15
2019-01-28,57,58,42,26
2019-01-29,81,64,45,30
2019-01-30,90,47,36,23
2019-01-31,61,54,36,27
2019-02-01,71,55,45,31
2019-02-02,77,63,54,32
2019-02-03,94,61,55,28
2019-02-04,89,58,55,26
2019-02-05,89,56,45,30
2019-02-06,87,68,62,31
2019-02-07,103,74,47,30
2019-02-08,107,48,25,12
2019-02-09,59,42,38,17
2019-02-10,77,42,42,17
2019-02-11,60,59,56,26
2019-02-12,89,61,31,21
2019-02-13,81,49,36,22
2019-02-14,95,49,51,27
2019-02-15,92,57,74,27
2019-02-16,91,58,58,27
2019-02-17,89,46,37,18
2019-02-18,62,53,30,22
2019-02-19,66,46,28,19
2019-02-20,49,53,25,20
2019-02-21,70,36,17,16
2019-02-22,40,43,26,18
2019-02-23,56,53,43,18
2019-02-24,71,33,28,13
2019-02-25,60,37,30,15
2019-02-26,64,41,34,20
2019-02-27,67,44,33,22
2019-02-28,61,49,43,25
2019-03-01,66,63,6,36
2019-03-02,103, , , 
