date, pm25, pm10, o3, no2
2019-10-05,60,33,38,17
2019-10-06,68,19,20,14
2019-10-07,35,24,31,15
2019-10-08,43,14,18,18
2019-10-09,31,18,32,17
2019-10-10,36,47,44,26
2019-10-11,90,18,29,20
2019-10-12,35, ,29,11
2019-11-18,70,35,42,22
2019-11-19,63, , , 
2019-11-21,103,53,33,32
2019-11-22,88,46,28,31
2019-11-23,72,48,35,26
2019-11-24,73,45,33,21
2019-11-25,91,49,38,37
2019-11-26,82,56,39,36
2019-11-27,95,54,20,31
2019-11-28,79,49,33,32
2019-11-29,78,51,30,33
2019-11-30,82,52,37,34
2019-12-01,88,44,33,22
2019-12-02,57,43,31,27
2019-12-03,73,48,33,32
2019-12-04,66,49,39,34
2019-12-05,66,51,39,40
2019-12-06,70,53,25,33
2019-12-07,61,46,34,32
2019-12-08,74,45,44,31
2019-12-09,81,52,45,51
2019-12-10,77,62,49,46
2019-12-11,92,57,41,31
2019-12-12,98,49,32,32
2019-12-13,82,46,24,30
2019-12-14,63,51,37,43
2019-12-15,75,52,56,41
2019-12-16,85,49,39,40
2019-12-17,73,54,41,36
2019-12-18,86,66,14,36
2019-12-19,117,77,43,49
2019-12-20,137,65,19,47
2019-12-21,104,62,21,37
2019-12-22,105,44,13,26
2019-12-23,87,51,32,33
2019-12-24,98,36,25,25
2019-12-25,64,37,37,21
2019-12-26,78,42,20,36
2019-12-27,66,55,47,42
2019-12-28,92,51, ,43
2019-12-29,84, , , 
2019-07-10,37,33,33,20
2019-07-11,71,41,28,37
2019-07-12,90,31,38,28
2019-07-13,75,25,42,27
2019-07-14,65,33,44,21
2019-07-15,79,30,48,22
2019-07-16,63,28,44,19
2019-07-17,56,28,31,25
2019-07-18,56,35,49,25
2019-07-19,80,25,37,24
2019-07-20,62,40,59,21
2019-07-21,81,23,47,18
2019-07-22,56,28,43,18
2019-07-23,62,31,38,21
2019-07-24,63,26,33,25
2019-07-25,59,28,23,26
2019-07-26,67,24,24,27
2019-07-27,56,20,44,20
2019-07-28,52,23,47,17
2019-07-29,50,30,38,24
2019-07-30,57,45,44,20
2019-07-31,74,48,43,19
2019-08-01,84,30,45,16
2019-08-02,58,33,48,21
2019-08-03,50,32,44,17
2019-08-04,61,33,12,15
2019-08-05,76,30, ,26
2019-08-06,67,32,38,29
2019-08-07,71,24,29,30
2019-08-08,51,28,49,28
2019-08-09,57,44,37,27
2019-08-10,79,26,27,19
2019-08-11,51,23,37,18
2019-08-12,54,26,37,21
2019-08-13,46,32,50,23
2019-08-14,53,32,46,21
2019-08-15,57,36,54,23
2019-08-16,67,32,48,21
2019-08-17,57,39,58,25
2019-08-18,72,33,46, 
2019-08-19,72,26,25, 
2019-08-20,55,24,33, 
2019-08-21,42,24,41,26
2019-08-22,49,35,36,31
2019-08-23,72,36,33,28
2019-08-24,81,36,51,29
2019-08-25,85,35,64,24
2019-08-26,88,31,54,33
2019-08-27,75,28,56,30
2019-08-28,71,31,40,20
2019-08-29,69,27,50,20
2019-08-30,68,26,49,23
2019-08-31,62,23,43,20
2019-09-01,55,20,47,14
2019-09-02,55,21,31,18
2019-09-03,59,14,35,18
2019-09-04,52, ,28,34
2019-09-06,84,37,46,20
2019-09-07,75, ,39,21
2019-09-11,88,34,31,19
2019-09-12,67,31,26,19
2019-09-13,59,27,18,22
2019-09-14,46,22,28,17
2019-09-15,49,21,44,13
2019-09-16,44,31,43,15
2019-09-17,83,38,47,24
2019-09-18,80,23,33,24
2019-09-19,50,36,35, 
2019-09-20,79,45,45,25
2019-09-21,87, , , 
2019-09-27,70,31,46,19
2019-09-28,58,33,34,19
2019-09-29,64,9,14,12
2019-09-30,28,21,26,21
2019-10-01,47,26,30,20
2019-04-02,99,62,58,30
2019-04-03,98,50,45,27
2019-04-04,80,55,65,29
2019-04-05,97,4,38,31
2019-04-06,13,48,42,27
2019-04-07,72,42,59,23
2019-04-08,75,49,51,24
2019-04-09,94,37,44,23
2019-04-10,73,43,80,27
2019-04-11,71,57,59,27
2019-04-12,77,56,48,29
2019-04-13,78,41,52,22
2019-04-14,55, , , 
2019-01-02,120,53,39,35
2019-01-03,98,57,34,53
2019-01-04,99,62,60,46
2019-01-05,104,54,52,38
2019-01-06,91,39,49,32
2019-01-07,67,45,38,34
2019-01-08,72,47,35,36
2019-01-09,66,40,36,26
2019-01-10,67,47,38,35
2019-01-11,79,45,55,33
2019-01-12,77,40,36,28
2019-01-13,77,23,30,15
2019-01-14,61,28,26,20
2019-01-15,59,44,34,32
2019-01-16,89,50,46,36
2019-01-17,96,44,32,35
2019-01-18,86,45,39,32
2019-01-19,88,36,30,25
2019-01-20,64,34,36,21
2019-01-21,72,46,34,49
2019-01-22,79,44,46,40
2019-01-23,70,38,36,35
2019-01-24,57,40,18,30
2019-01-25,65,48,32,31
2019-01-26,73,39,26,24
2019-01-27,61,23,37,17
2019-01-28,45,49,41,34
2019-01-29,76,57,59,33
2019-01-30,82,54,32,31
2019-01-31,88,45,27,35
2019-02-01,70,55,44,43
2019-02-02,82,50,48,36
2019-02-03,83,49,72,35
2019-02-04,74,52,68,32
2019-02-05,87,52,42,39
2019-02-06,78,59,72,49
2019-02-07,93,56,42,35
2019-02-08,84,47,23,21
2019-02-09,65,50,45,24
2019-02-10,91,44,56,27
2019-02-11,79,47,31,36
2019-02-12,74,54,33,23
2019-02-13,64,52,33,35
2019-02-14,107,42,48,28
2019-02-15,82,47,73,38
2019-02-16,83,47,64,30
2019-02-17,76,41,52,24
2019-02-18,64,46,34,31
2019-02-19,61,37,26,21
2019-02-20,53,34,22,19
2019-02-21,51,25,22,15
2019-02-22,40,36,22,19
2019-02-23,50,38,32,19
2019-02-24,63,30,33,18
2019-02-25,57,39,29,28
2019-02-26,75,35,32,25
2019-02-27,62,34,33,27
2019-02-28,45,39,41,38
2019-03-01,59,51,5,40
2019-03-02,71, , , 
2019-03-04,62,43,38,31
2019-03-05,62,41,44,28
2019-03-06,68,48,47,34
2019-03-07,89,46,61,37
2019-03-08,83,46,58,32
2019-03-09,76,49,74,29
2019-03-10,80,49,64,24
2019-03-11,78,51,60,28
2019-03-12,77,51,38,31
2019-03-13,85,54,63,32
2019-03-14,85,59,79,34
2019-03-15,93,57,58,23
2019-03-16,93,51,45,26
2019-03-17,83,47,45,26
2019-03-18,85,40,32,20
2019-03-19,76,46,35,25
2019-03-20,79,45,50,27
2019-03-21,78,42,48,25
2019-03-22,80,44,43,28
2019-03-23,74,45,42,28
2019-03-24,73,38,54,20
2019-03-25,68,41,39,26
2019-03-26,53,40,39,25
2019-03-27,48,41,37,24
2019-03-28,56,41,41,29
2019-03-29,62,71,34,38
2019-03-30,126,64,73,32
2019-03-31,98,57,75,21
2019-04-01,99,62,61,30
2018-10-02,41,20,30,18
2018-10-03,39,18,26,20
2018-10-04,35,19,31,20
2018-10-05,42,26,11,23
2018-10-06,51,30,46,25
2018-10-07,71,15,44,25
2018-10-08,52,39,37,33
2018-10-09,80,38,59,36
2018-10-10,79,31,44,33
2018-10-11,77, ,24,28
2018-10-16,59,28,34,23
2018-10-17,56,23,16,17
2018-10-18,40,22,13,19
2018-10-19,35,22,13,18
2018-10-20,44, , , 
2018-11-08,78,38,37,28
2018-11-09,64,38,32,25
2018-11-10,54,42,55,25
2018-11-11,69,41,53,23
2018-11-12,83,40,41,34
2018-11-13,73,48,21,34
2018-11-14,94,40,3,28
2018-11-15,89,47,28,39
2018-11-16,97,48,43,41
2018-11-17,76,55,55,41
2018-11-18,94,55,61,44
2018-11-19,105,50,57,44
2018-11-20,91,59,60,49
2018-11-21,97,56,35,38
2018-11-22,93,55,59,44
2018-11-23,87,60,69,52
2018-11-24,95,59,81,43
2018-11-25,100,43,46,32
2018-11-26,76,53,31,36
2018-11-27,94,53,41,34
2018-11-28,92,39,20,24
2018-11-29,61,16,19,17
2018-11-30,25,21,14,18
2018-12-01,36,27,40,24
2018-12-02,55,29,47,32
2018-12-03,57,44,58,39
2018-12-04,66,54,44,39
2018-12-05,97,45,21,25
2018-12-06,76,38,38,33
2018-12-07,72,33,30,28
2018-12-08,59,41,40,30
2018-12-09,68,43,59,26
2018-12-10,81,45,27,31
2018-12-11,86,62,20,36
2018-12-12,120,52,37,36
2018-12-13,101,35,25,28
2018-12-14,55,48,38,41
2018-12-15,75,63,33,40
2018-12-16,119,59,50,43
2018-12-17,116,58,48,60
2018-12-18,105,72,66,60
2018-12-19,129,32,26,29
2018-12-20,54,31,34,33
2018-12-21,50,46,30,44
2018-12-22,73,54,42,53
2018-12-23,97,50,66,41
2018-12-24,86,48,47,44
2018-12-25,92,67,91,41
2018-12-26,145,47,31,40
2018-12-27,82,36,31,32
2018-12-28,56,42,28,43
2018-12-29,72,43,41,40
2018-12-30,75,45,32,27
2018-12-31,75, , , 
2018-07-03,81,43,35,24
2018-07-04,78,46,43,30
2018-07-05,79,40,12,21
2018-07-06,59,32,20,17
2018-07-07,52,28,32,20
2018-07-08,48,25,28,21
2018-07-09,57,44,35,22
2018-07-10,69,31,31,20
2018-07-11,57,37,33,29
2018-07-12,74,30,31,21
2018-07-13,48,46,23,22
2018-07-14,64,5,25,28
2018-07-15,10, ,51,19
2018-07-29,67, , , 
2018-07-31,57,33,47,28
2018-08-01,62,26,35,20
2018-08-02,48,20,31,19
2018-08-03,40,21,33,21
2018-08-04,41,29,24,22
2018-08-05,76,16,35,16
2018-08-06,43,18,28,20
2018-08-07,43,31,45,20
2018-08-08,67,35,46,21
2018-08-09,73,37,43,25
2018-08-10,73,31,42,29
2018-08-11,73,36,47,31
2018-08-12,92,28,33,28
2018-08-13,79,37,47,35
2018-08-14,85,42,68,26
2018-08-15,84,35,4,28
2018-08-16,83,28, , 
2018-08-17,79,24, , 
2018-08-18,72,17, , 
2018-08-19,70,20, , 
2018-08-20,61,22, , 
2018-08-21,67, , , 
2018-08-29,70,39,32,33
2018-08-30,84,29,43,20
2018-08-31,57,34,54,24
2018-09-01,76,18,14,22
2018-09-02,51, , , 
2018-09-04,90,38,48,22
2018-09-05,74,31,36,22
2018-09-06,59,28,27,29
2018-09-07,61,26,45,25
2018-09-08,65,42,47,20
2018-09-09,90,27,41,16
2018-09-10,64,44,58,26
2018-09-11,92,44,42,35
2018-09-12,93,42,45,34
2018-09-13,100,28,35,31
2018-09-14,69,39,40,28
2018-09-15,78,35,46,27
2018-09-16,79,39,35,26
2018-09-17,98,30,34,29
2018-09-18,75,41,41,31
2018-09-19,89,37,47,26
2018-09-20,81,33,44,20
2018-09-21,67,40,45,27
2018-09-22,73,28,38,22
2018-09-23,67,2,30,16
2018-09-24,8, ,36,21
2018-09-26,40,33,34,23
2018-09-27,70,25,39,25
2018-09-28,58,20,29,18
2018-09-29,45,31,32,19
2018-09-30,67,18,41,14
2018-10-01,46,20,30,16
2018-04-02,54,43, , 
2018-04-03,67,46,53, 
2018-04-04,77,49,52, 
2018-04-05,79,48,70, 
2018-04-06,99,50,38, 
2018-04-07,100,52,58, 
2018-04-08,100,39,58, 
2018-04-09,64,45,57, 
2018-04-10,86,45,46, 
2018-04-11,83,33,42, 
2018-04-12,67,33,1, 
2018-04-13,76,43,44, 
2018-04-14,77,34,50, 
2018-04-15,66,65,55, 
2018-04-16,106,56,53, 
2018-04-17,94,49,61,30
2018-04-18,74,48,47,29
2018-04-19,66,54,45,30
2018-04-20,71,46,52,26
2018-04-21,78,62,54,28
2018-04-22,100,32,55,23
2018-04-23,71,44,45,30
2018-04-24,99,47,35,34
2018-04-25,97,40,40,32
2018-04-26,88,52,56,33
2018-04-27,110,54,63,37
2018-04-28,105,49,62,34
2018-04-29,107,45,68,28
2018-04-30,96,48,49,35
2018-05-01,90,31,50,23
2018-05-02,65,39,27,34
2018-05-03,74,45,53,32
2018-05-04,89,43,39, 
2018-05-05,89,31,33, 
2018-05-06,69,25,28, 
2018-05-07,56,29,30, 
2018-05-08,55,37,11, 
2018-05-09,84,42,47, 
2018-05-10,87,44,52, 
2018-05-11,87,45,61, 
2018-05-12,87,39,69, 
2018-05-13,79,34,76, 
2018-05-14,78,43,52, 
2018-05-15,80,40,45, 
2018-05-16,71,45,38, 
2018-05-17,75,39,42, 
2018-05-18,65,41,45, 
2018-05-19,67,51,50, 
2018-05-20,83,34,58, 
2018-05-21,75,32,49, 
2018-05-22,71,45,52, 
2018-05-23,88,46,60, 
2018-05-24,86,39,35,20
2018-05-25,62,41,39,23
2018-05-26,73,39,53,23
2018-05-27,66,32,55,24
2018-05-28,55,43,32,32
2018-05-29,67,41,39,29
2018-05-30,58,48,37,30
2018-05-31,67,46,33,28
2018-06-01,62,58,46,28
2018-06-02,94,44,43,11
2018-06-03,59,38,27,12
2018-06-04,51,35,36,16
2018-06-05,37,53,85,36
2018-06-06,86,46,62,21
2018-06-07,77,48,56,24
2018-06-08,81,38,39,21
2018-06-09,56,35,31,22
2018-06-10,69,34,56,20
2018-06-11,64,43,48,32
2018-06-12,82,42,28,37
2018-06-13,95,23,23,31
2018-06-14,63,23,15,32
2018-06-15,65,33,29,36
2018-06-16,80,32,32,23
2018-06-17,74,18,28,23
2018-06-18,43,20,14,29
2018-06-19,51,21,26,29
2018-06-20,51,32,26,28
2018-06-21,50,39,19,34
2018-06-22,72,25,29,23
2018-06-23,50, , , 
2018-01-09,62,47,14,42
2018-01-10,78,63,42,65
2018-01-11,102,73,45,57
2018-01-12,115,50,34,42
2018-01-13,80,59,31,36
2018-01-14,85,49,30,28
2018-01-15,91,58,27,53
2018-01-16,100,61,29,40
2018-01-17,86,56,38,46
2018-01-18,88,58,49,50
2018-01-19,107,67,57,57
2018-01-20,111,42,44,36
2018-01-21,72,39,44,31
2018-01-22,68,52,53,37
2018-01-23,83,63,48,42
2018-01-24,121,53,28,30
2018-01-25,93,34,26,28
2018-01-26,60,57,34,40
2018-01-27,110,42,35,32
2018-01-28,87,24,16,19
2018-01-29,52,23,16,22
2018-01-30,43,41,26,34
2018-01-31,61,48,22,38
2018-02-01,87,40,12,31
2018-02-02,67,54,32,24
2018-02-03,64,55,36,31
2018-02-04,105,49,57,35
2018-02-05,82,34,59,22
2018-02-06,61,51,54,42
2018-02-07,92,51,38,36
2018-02-08,82,37,28,21
2018-02-09,57,42,17,31
2018-02-10,79,31,20,26
2018-02-11,66,23,33,19
2018-02-12,48,45,45,29
2018-02-13,79,61,40,30
2018-02-14,111,46,41,25
2018-02-15,74,48,48,32
2018-02-16,77,50,72,39
2018-02-17,81,55,42,35
2018-02-18,91,48,49,32
2018-02-19,86,54,52,30
2018-02-20,92,45,50,28
2018-02-21,76,53,66,34
2018-02-22,94,50,40,35
2018-02-23,85,57,50,36
2018-02-24,105,67,62,32
2018-02-25,134,45,54,23
2018-02-26,94,42,42,28
2018-02-27,70,55,47,33
2018-02-28,100,58,80,39
2018-03-01,95,61,45,27
2018-03-02,94,59,56,28
2018-03-03,98,55,40,30
2018-03-04,88,40,52,25
2018-03-05,63,54,53,34
2018-03-06,85,53,47,32
2018-03-07,81,55,33,30
2018-03-08,97,29,3,24
2018-03-09,53,46,37,30
2018-03-10,76,50, ,40
2018-03-11,98,39, ,26
2018-03-12,71,45,59,28
2018-03-13,70,57,47,38
2018-03-14,102,61,68,42
2018-03-15,114,49,18,36
2018-03-16,81,54,50,36
2018-03-17,86,45,55,28
2018-03-18,77,37,49,24
2018-03-19,57,33,57,24
2018-03-20,57,51,59,27
2018-03-21,76,55,46,30
2018-03-22,96,46,40,27
2018-03-23,76,44,34,25
2018-03-24,74,35,2,23
2018-03-25,48,36, ,22
2018-03-26,54,47,63,30
2018-03-27,76,58,59,30
2018-03-28,90,53,43,24
2018-03-29,82,53,43,25
2018-03-30,92,34,28,19
2018-03-31,65,27, , 
2018-04-01,52,28, , 
2017-10-02,31,16,22, 
2017-10-03,27,31,19, 
2017-10-04,46,28,11, 
2017-10-05,34,26,21, 
2017-10-06,44,34,20,18
2017-10-07,59,88,14,62
2017-10-08,140,28,35,20
2017-10-09,50,41,19,37
2017-10-10,76,32,30,23
2017-10-11,51,25,23,20
2017-10-12,43,24,19,22
2017-10-13,39,28,23,22
2017-10-14,49,32,39,22
2017-10-15,61,36,40,20
2017-10-16,80,22,18,20
2017-10-17,39,27,25,24
2017-10-18,44,45,36,28
2017-10-19,88,50,39,37
2017-10-20,92,48,44,32
2017-10-21,77,44,45,33
2017-10-22,78,33,35,23
2017-10-23,54,28,23,22
2017-10-24,43,28,24,21
2017-10-25,52,25,30,22
2017-10-26,45,48,45,42
2017-10-27,85,47,40,37
2017-10-28,80,49,66,35
2017-10-29,86,40,52,28
2017-10-30,78,42,45,34
2017-10-31,79,53,63,39
2017-11-01,110,61,15,35
2017-11-02,131,41,43,26
2017-11-03,90,30,30,25
