date, pm25, o3, no2
2019-11-02,60,18, 
2019-11-03,64,38, 
2019-11-04,40,48, 
2019-11-05,67,43, 
2019-11-06,65,46, 
2019-11-07,64,38, 
2019-11-08,60,34, 
2019-11-09,58,29, 
2019-11-10,30,42, 
2019-11-11,71,46, 
2019-11-12,64,51, 
2019-11-13,57,29, 
2019-11-14,68,24, 
2019-11-15,46,40,19
2019-11-16,58,40,21
2019-11-17,87,50,20
2019-11-18,69,58,22
2019-11-19,59,60,27
2019-11-20,95,47,21
2019-11-21,72,46,25
2019-11-22,86,44,23
2019-11-23,79,63,26
2019-11-24,94,50,19
2019-11-25,91,51,27
2019-11-26,82,35,18
2019-11-27,72,19,31
2019-11-28,90, ,26
2019-11-29,73, ,23
2019-11-30,79,56,27
2019-12-01,81,39,25
2019-12-02,71,49,21
2019-12-03,78,47,26
2019-12-04,71,49,28
2019-12-05,73,73,29
2019-12-06,86,34,28
2019-12-07,78,56,26
2019-12-08,79,76,30
2019-12-09,98,52,35
2019-12-10,113,56,36
2019-12-11,100,57,25
2019-12-12,98,48,27
2019-12-13,89,45,27
2019-12-14,77,60,27
2019-12-15,79,74,27
2019-12-16,92,40,26
2019-12-17,66,42,29
2019-12-18,88,35,24
2019-12-19,97,59,27
2019-12-20,101,45,37
2019-12-21,122,38,26
2019-12-22,96,15,25
2019-12-23,96,57,31
2019-12-24,123,39,25
2019-12-25,72,66,30
2019-12-26,183,56,30
2019-12-27,99,28,34
2019-12-28,105,15,30
2019-12-29,87, , 
2019-07-02,53,40,22
2019-07-03,54,52,21
2019-07-04,44,58,24
2019-07-05,77,60,19
2019-07-06,76,40,15
2019-07-07,68,66,13
2019-07-08,61,47,20
2019-07-09,75,39,23
2019-07-10,109,42,15
2019-07-11,85,40,22
2019-07-12,82,48,20
2019-07-13,89,51,20
2019-07-14,70,51,18
2019-07-15,92,52,20
2019-07-16,74,48,18
2019-07-17,62,35,16
2019-07-18,55,49,17
2019-07-19,80,47,19
2019-07-20,68,69,18
2019-07-21,79,41,11
2019-07-22,57,49,16
2019-07-23,46,48,14
2019-07-24,66,39,17
2019-07-25,60,33,28
2019-07-26,83,32,26
2019-07-27,61,51,15
2019-07-28,44,54,15
2019-07-29,52,41,19
2019-07-30,54,47,18
2019-07-31,64,48,13
2019-08-01,72,28,15
2019-08-02,57,61,14
2019-08-03,72,61,11
2019-08-23,57,12,17
2019-08-24,75, , 
2019-09-21,45,44,9
2019-09-22,47,55,11
2019-09-23,57,58,12
2019-09-24,51,63,20
2019-09-25,80,58,21
2019-09-26,64,56,22
2019-09-27,88,49,12
2019-09-28,47,48,12
2019-09-29,50,14,10
2019-09-30,28,21,9
2019-10-01,21,36,11
2019-04-02,91,56,24
2019-04-03,97,49,21
2019-04-04,93,87,23
2019-04-05,106,51,22
2019-04-06,110,53,20
2019-04-07,98,57,18
2019-04-08,95,78,20
2019-04-09,110,60,15
2019-04-10,69,112,23
2019-04-11,86,70,21
2019-04-12,87,44,19
2019-04-13,81,79,15
2019-04-14,92,96,23
2019-04-15,139,96,20
2019-04-16,117,84,18
2019-04-17,115,94,23
2019-04-18,114,76,22
2019-04-19,107,69,8
2019-04-20,75,80,11
2019-04-21,72,84,15
2019-04-22,94,81,28
2019-04-23,124,64,24
2019-04-24,121,59,23
2019-04-25,110,74,22
2019-04-26,126,84,18
2019-04-27,106,77,19
2019-04-28,120,94,22
2019-04-29,121,76,26
2019-04-30,122,73,22
2019-05-01,94,6,27
2019-05-02,74,50,14
2019-05-03,95,74,27
2019-05-04,95,80,28
2019-05-05,128,58,19
2019-05-06,134,50,20
2019-05-07,131,58,24
2019-05-08,138,53,21
2019-05-09,117,53,20
2019-05-10,111,65,21
2019-05-11,132,104,24
2019-05-12,161,89,22
2019-05-13,169,86,26
2019-05-14,174,72,29
2019-05-15,174,89,19
2019-05-16,167,75,25
2019-05-17,167,65,28
2019-05-18,117,83,21
2019-05-19,100,70,16
2019-05-20,87,82,19
2019-05-21,98,88,20
2019-05-22,109,89,24
2019-05-23,81,88,21
2019-05-24,102,63,22
2019-05-25,88, ,13
2019-05-26,89, ,13
2019-05-27,64,82,14
2019-05-28,70,84,17
2019-05-29,93,86,15
2019-05-30,88,79,16
2019-05-31,89,60,14
2019-06-01,74,32,11
2019-06-02,37,11,8
2019-06-03,27, ,13
2019-06-04,35, ,17
2019-06-05,39, ,17
2019-06-06,34, ,29
2019-06-07,56,61,25
2019-06-08,63,64,24
2019-06-09,70,58,11
2019-06-10,58,47,14
2019-06-11,56,36,10
2019-06-12,40,52,15
2019-06-13,61,40,14
2019-06-14,40,49,17
2019-06-15,37,72,13
2019-06-16,74,68,15
2019-06-17,62,69,17
2019-06-18,69,69,19
2019-06-19,62,56,18
2019-06-20,69,74,21
2019-06-21,79,37,20
2019-06-22,99,64,19
2019-06-23,87,52,15
2019-06-24,86,25,15
