date, pm25, pm10, o3, no2
2019-10-14,70,35,32,24
2019-10-15,58,43,52,32
2019-10-16,70,29,11,22
2019-10-17,53,17,3,24
2019-10-18,46,20,26,24
2019-10-19,38,20,29,21
2019-10-20,41,17,19,12
2019-10-21,36,21,31,25
2019-10-22,37,31,23,22
2019-10-23,54,33,32,24
2019-10-24,59,36,30,33
2019-10-25,68,32,13,34
2019-10-26,71,26,31,30
2019-10-27,64,39,61,31
2019-10-28,91,49,51,44
2019-10-29,109,44,41,33
2019-10-30,81,39,46,35
2019-10-31,81,27,17,26
2019-11-01,51,38,39,26
2019-11-02,70,37,10,26
2019-11-03,76,20,37,21
2019-11-04,46,39,40,32
2019-11-05,87,41,33,34
2019-11-06,75,33,32,26
2019-11-07,58,41,29,28
2019-11-08,69,31,26,20
2019-11-09,54,19,25,17
2019-11-10,31,37,40,24
2019-11-11,70,41,39,30
2019-11-12,70,35,42,29
2019-11-13,60,31,24,18
2019-11-14,44,21,34,23
2019-11-15,31,35,36,29
2019-11-16,67,50,32,32
2019-11-17,91,39,47,26
2019-11-18,67,34,46,26
2019-11-19,55,44,42,36
2019-11-20,88,47,46,38
2019-11-21,82,56,35,39
2019-11-22,94,71,34,40
2019-11-23,78,110,49,34
2019-11-24,70, ,40,30
2019-11-27,60,55,59,35
2019-11-28,82,50,37,34
2019-11-29,70,53,40,36
2019-11-30,87,55,45,38
2019-12-01,80,50,13,40
2019-12-02,80, , , 
2019-12-04,63,52,45,43
2019-12-05,76,57,63,47
2019-12-06,84,55,26,40
2019-12-07,71,47,46,35
2019-12-08,79,54,63,37
2019-12-09,92,63,56,51
2019-12-10,96,56,60,46
2019-12-11,86,59,46,34
2019-12-12,97,55,48,35
2019-12-13,89,44,33,33
2019-12-14,65,52,55,41
2019-12-15,75,59,70,43
2019-12-16,94,43,46,37
2019-12-17,64,52,44,38
2019-12-18,75,64,25,36
2019-12-19,108,64,58,41
2019-12-20,107,69,24,58
2019-12-21,113,64,30,44
2019-12-22,95,51,13,28
2019-12-23,102,60,44,38
2019-12-24,115,43,30,31
2019-12-25,69,64,62,33
2019-12-26,121,48,48,41
2019-12-27,83,63,69,44
2019-12-28,108,54,5,41
2019-12-29,96, , , 
2019-07-02,46,29,27,34
2019-07-03,57,23,39,27
2019-07-04,50,43,52,32
2019-07-05,82,46,60,28
2019-07-06,84,43,35,22
2019-07-07,79,36,66,17
2019-07-08,74,39,50,28
2019-07-09,83,40,38,31
2019-07-10,85,33,34,25
2019-07-11,76,37,32,40
2019-07-12,82,33,44,33
2019-07-13,81,25,58,27
2019-07-14,66,35,54,24
2019-07-15,83,32,54,27
2019-07-16,75,30,49,22
2019-07-17,70,26,35,25
2019-07-18,59,35,45,28
2019-07-19,76,22,47,27
2019-07-20,55,32,70,24
2019-07-21,71,19,41,17
2019-07-22,49,22,52,22
2019-07-23,49,26,44,25
2019-07-24,59,26,34,31
2019-07-25,64,28,23,34
2019-07-26,71,26,24,32
2019-07-27,69,16,52,21
2019-07-28,41,21,54,20
2019-07-29,54,24,41,27
2019-07-30,54,29,48,21
2019-07-31,61,39,45,25
2019-08-01,81,28,48,23
2019-08-02,61,26,65,27
2019-08-03,56,27,63,22
2019-08-04,58,23,64,15
2019-08-05,57,24,51,26
2019-08-06,59,24,42,29
2019-08-07,62,20,31,30
2019-08-08,54,19,58,24
2019-08-09,51,38,46,31
2019-08-10,85,21,25,18
2019-08-11,52,22,47,20
2019-08-12,59,14,40,20
2019-08-13,42,24,51,21
2019-08-14,57,20,46,23
2019-08-15,53,20,57,24
2019-08-16,55,27,59,25
2019-08-17,66,31,67,26
2019-08-18,75,29,63,24
2019-08-19,70,21,24,15
2019-08-20,52,24,33,17
2019-08-21,42,32,46,26
2019-08-22,55,40,38,29
2019-08-23,68,40,53,31
2019-08-24,80,37,70,34
2019-08-25,78,33,53,24
2019-08-26,71,31,64,33
2019-08-27,64,36,65,29
2019-08-28,69,40,42,25
2019-08-29,70,40,61,25
2019-08-30,67,38,55,29
2019-08-31,62,37,48,23
2019-09-01,54,34,62,18
2019-09-02,54,30,36,18
2019-09-03,48,31,45,20
2019-09-04,59,39,43,27
2019-09-05,61,33,50,28
2019-09-06,59,38,56,25
2019-09-07,71,38,41,27
2019-09-08,76,27,56,22
2019-09-09,55,37,45,31
2019-09-10,64,31,41,29
2019-09-11,65,33,32,25
2019-09-12,60,30,29,23
2019-09-13,58,23,13,26
2019-09-14,41,18,26,20
2019-09-15,32,18,57,17
2019-09-16,34,34,52,18
2019-09-17,74,34,49,28
2019-09-18,70,15,30,21
2019-09-19,37,25,33,32
2019-09-20,59,41,59,34
2019-09-21,82,36,43,26
2019-09-22,67,30,56,18
2019-09-23,60,32,61,24
2019-09-24,62,42,63,27
2019-09-25,78,46,58,36
2019-09-26,100,46,51,29
2019-09-27,97,31,46,23
2019-09-28,58,35,40,25
2019-09-29,63,12,12,13
2019-09-30,26,12,24,16
2019-10-01,26,22,36,21
2019-04-02,81,51,42,37
2019-04-03,86,48,50,29
2019-04-04,72,49,85,31
2019-04-05,88,52,59,32
2019-04-06,88,49,65,28
2019-04-07,89,43,67,22
2019-04-08,83,46,81,27
2019-04-09,91,32,61,22
2019-04-10,65,50,112,33
2019-04-11,90,50,76,26
2019-04-12,67,55,60,28
