date,med_temp,med_hum
2020-01-01,13.5,54.633057522915124
2020-01-02,11.5,90.67538750402345
2020-01-03,13,50.42095268852469
2020-01-04,12,64.77021448635914
2020-01-05,10.5,90.48107188500234
2020-01-06,12,57.855491224856635
2020-01-07,17.5,16.494984875106148
2020-01-08,10,67.47824236791637
2020-01-09,12,81.9266490914186
2020-01-10,10.5,93.45831978399637
2020-01-11,11,75.9437234078979
2020-01-12,11.5,82.0479264748835
2020-01-13,9,93.52980580799328
2020-01-14,10,87.5605191220493
2020-01-15,9.5,84.69372820718138
2020-01-16,9,93.48238181132206
2020-01-17,11,82.28567970739027
2020-01-18,10.5,84.54176656030592
2020-01-19,12,59.482135335198805
2020-01-20,13,84.95964002354614
2020-01-21,13,87.85761767593678
2020-01-22,12,87.6896910246721
2020-01-23,11,93.59957936829394
2020-01-24,12.5,81.80288936815973
2020-01-25,10.5,100
2020-01-26,11,96.85639898935015
2020-01-27,12.5,82.16759275708652
2020-01-28,12,78.98613691771462
2020-01-29,12.5,93.50609380965767
2020-01-30,14,37.97031748424655
2020-01-31,13,54.1404536490307
2020-02-01,18,26.89348324233638
2020-02-02,17.5,32.53780099557095
2020-02-03,13,82.0479264748835
2020-02-04,12,21.13657172120135
2020-02-05,8,28.312436354001143
2020-02-06,9,55.37123173698659
2020-02-07,11,82.0479264748835
2020-02-08,12,81.8037279834054
2020-02-09,13,82.16759275708652
2020-02-10,10,93.64532035898128
2020-02-11,10,93.43425775667069
2020-02-12,11,67.5761485295562
2020-02-13,10.5,79.15080865238556
2020-02-14,11,87.64683374526815
2020-02-15,11,87.8009252568786
2020-02-16,11,87.46927547812204
2020-02-17,11.666666666666668,96.92931541359343
2020-02-18,12,93.62261383052541
2020-02-19,13,87.77423010198441
2020-02-20,11.5,93.64532035898128
2020-02-21,16,55.0082110345886
2020-02-22,14,82.28567970739027
2020-02-23,13,87.6896910246721
2020-02-24,11,93.57654490606248
2020-02-25,12.5,87.59857380770802
2020-02-26,20,11.311878671146918
2020-02-27,18,14.14488127621159
2020-02-28,22,12.462700476500665
2020-02-29,16.5,33.44510620902128
2020-03-01,13,71.88663496032002
2020-03-02,10,87.51706177823438
2020-03-03,11,82.0479264748835
2020-03-04,13,76.26296722008242
2020-03-05,12.5,87.77423010198441
2020-03-06,13,93.75694061623095
2020-03-07,13,76.87685464599102
2020-03-08,13,87.77423010198441
2020-03-09,12,77.0254286471061
2020-03-10,16.833333333333336,83.68593233171967
2020-03-11,16.5,85.18742813037709
2020-03-12,14,93.80046793553373
2020-03-13,13.5,93.66802688743715
2020-03-14,14,87.85761767593678
2020-03-15,13,87.6896910246721
2020-03-16,13,82.16759275708652
2020-03-17,13,76.80160692861728
2020-03-18,10,87.51706177823438
2020-03-19,10.5,81.8037279834054
2020-03-20,11.5,81.9266490914186
2020-03-21,12,87.6896910246721
2020-03-22,12,87.64683374526815
2020-03-23,15,83.43065129009773
2020-03-24,16,67.96090878605577
2020-03-25,13,76.87685464599102
2020-03-26,13,60.81327935329456
2020-03-27,10,76.41945417801857
2020-03-28,14,62.96717877904992
2020-03-29,15,65.49314647097573
2020-03-30,16.5,68.14993497490978
2020-03-31,17,72.74136747626689
2020-04-01,17.5,72.6579650382221
2020-04-02,16.5,70.18331654686128
2020-04-03,16,65.69513224502911
2020-04-04,16.5,65.78343276086535
2020-04-05,15,67.5761485295562
2020-04-06,15,72.06179878226612
2020-04-07,15,87.93987707799131
2020-04-08,13,72.23481564768205
2020-04-09,14,72.1483072149741
2020-04-10,12,100
2020-04-11,14.5,74.78892090945487
2020-04-12,15,77.24453707275183
2020-04-13,14,87.77423010198441
2020-04-14,17,77.74071657378644
2020-04-15,21,38.038156432904415
2020-04-16,20.5,43.57207505932657
2020-04-17,16,72.40572430766677
2020-04-18,16,67.76965953357693
2020-04-19,16,72.40572430766677
2020-04-20,16,77.31695663426069
2020-04-21,17,72.74136747626689
2020-04-22,22.5,54.997572964823675
2020-04-23,26,41.972173723318484
2020-04-24,25,50.53094102356468
2020-04-25,26,52.33700808337788
2020-04-26,27.5,39.679523784585015
2020-04-27,24,60.80849361136813
2020-04-28,22.5,64.82086744901889
2020-04-29,20,77.87849361687259
2020-04-30,19,82.85348002675016
2020-05-01,21,72.00004952270766
2020-05-02,22,64.5243824313096
2020-05-03,21,66.57270195408526
2020-05-04,22.666666666666664,58.9118180563072
2020-05-05,25.5,52.45344236585983
2020-05-06,29,37.34013492780413
2020-05-07,27.166666666666664,39.422609936715205
2020-05-08,24,57.23908378418548
2020-05-09,22,68.88455335627403
2020-05-10,20,75.5542159782784
2020-05-11,20,64.3241724469097
2020-05-12,19,60.380664845333186
2020-05-13,18.5,59.942469536932464
2020-05-14,20,60.59570957308006
2020-05-15,21.5,60.702101592224096
2020-05-16,22,66.76245838984319
2020-05-17,21,65.983973279157
2020-05-18,20.5,67.20449051402382
2020-05-19,19,57.7967295767107
2020-05-20,20,59.72161450624217
2020-05-21,21.5,60.48818720920662
2020-05-22,21,60.48818720920662
2020-05-23,19,62.84187096554622
2020-05-24,20.5,68.61275899271811
2020-05-25,22,66.85271040264647
2020-05-26,24.5,57.460781959872754
2020-05-27,24,59.13463778562044
2020-05-28,21,73.22993833968422
2020-05-29,20,75.40486853699244
2020-05-30,20.5,64.22351528460194
2020-05-31,21,64.62393525340177
2020-06-01,23,59.02378869777681
2020-06-02,22.5,66.85271040264647
2020-06-03,26,51.00840237394229
2020-06-04,22,64.82086744901889
2020-06-05,20.5,62.193419926112355
2020-06-06,19,70.71382184010733
