date,med_temp,med_hum
2020-01-01,18,43.04672100000001
2020-01-02,15.5,63.0748532245927
2020-01-03,14,65.08208622797312
2020-01-04,12,34.977760258506414
2020-01-05,12,20.61091738139957
2020-01-06,14,14.17275248955037
2020-01-07,16,21.063153999221754
2020-01-08,13.5,34.56675360114387
2020-01-09,14,47.73998875947477
2020-01-10,17,44.7524777894665
2020-01-11,19,32.589727522428724
2020-01-12,16,34.9697068975195
2020-01-13,16,39.09794202454459
2020-01-14,18,34.42220240045816
2020-01-15,18,52.21984890689849
2020-01-16,18,47.56201828604192
2020-01-17,17,51.97049671792886
2020-01-18,17,52.46674886846966
2020-01-19,17,59.49717154198522
2020-01-20,14,72.06179878226612
2020-01-21,14,62.96717877904992
2020-01-22,14.5,49.606613491495246
2020-01-23,16,55.38194241530312
2020-01-24,13,58.809036583679365
2020-01-25,15,47.471584888509426
2020-01-26,16,59.49717154198522
2020-01-27,13,82.40221826885791
2020-01-28,17,37.97031748424655
2020-01-29,14.5,38.88948253452538
2020-01-30,16,36.759887840413946
2020-01-31,14,62.858265824857696
2020-02-01,15,39.6483053868861
2020-02-02,14,52.926149703138094
2020-02-03,14.5,62.96594027040048
2020-02-04,12,100
2020-02-05,14,82.28567970739027
2020-02-06,13,82.16759275708652
2020-02-07,13.5,44.34221436726369
2020-02-08,16,44.4797958756841
2020-02-09,16,46.07965724354051
2020-02-10,18,52.71122993539926
2020-02-11,17.5,45.81778869256159
2020-02-12,19,37.77028964800556
2020-02-13,18,42.51240076984232
2020-02-14,18,45.29051187559897
2020-02-15,19,45.55592014158267
2020-02-16,21,40.457488270423156
2020-02-17,23,35.240580775172695
2020-02-18,21,28.251207296599624
2020-02-19,22,26.27814246559435
2020-02-20,21,37.77028964800556
2020-02-21,21,38.304016855184145
2020-02-22,18,48.78841305353607
2020-02-23,20,37.5004003623772
2020-02-24,21,35.240580775172695
2020-02-25,20,32.04306837508369
2020-02-26,19.5,29.42272023117063
2020-02-27,12,53.884172630527125
2020-02-28,17,40.808615175632646
2020-02-29,19,32.04306837508369
2020-03-01,21,40.1899157109373
2020-03-02,21,34.9697068975195
2020-03-03,22,26.8047120603421
2020-03-04,20,32.589727522428724
2020-03-05,19.5,32.517663906882085
2020-03-06,18,48.78841305353607
2020-03-07,15,48.00584149749267
2020-03-08,20,39.6483053868861
2020-03-09,21,40.457488270423156
2020-03-10,23,38.304016855184145
2020-03-11,24,34.18726074234446
2020-03-12,22,36.90606293294189
2020-03-13,27,28.09770646553974
2020-03-14,25,32.204095832972925
2020-03-15,23,40.98626736197717
2020-03-16,21,49.549159547609406
2020-03-17,17.5,61.438121685578714
2020-03-18,21.5,48.07164774090987
2020-03-19,22,38.304016855184145
2020-03-20,22,35.04506394240296
2020-03-21,25,41.24751338137246
2020-03-22,23,46.338040472551995
2020-03-23,24,32.539796899738654
2020-03-24,25,24.70511852129711
2020-03-25,27,19.5305226765038
2020-03-26,26.5,19.223222701676395
2020-03-27,24,36.04183621787822
2020-03-28,25,27.58453191087637
2020-03-29,24,32.589727522428724
2020-03-30,24,46.8479701002966
2020-03-31,24,29.048006600365333
2020-04-01,23.5,45.46830986937083
2020-04-02,24,33.12926664948541
2020-04-03,23,30.100209111823666
2020-04-04,23.5,32.40836824606514
2020-04-05,24,23.453819802687427
2020-04-06,22,24.556748038261716
2020-04-07,22.5,22.510338254525756
2020-04-08,25,20.141307026439268
2020-04-09,27,15.382363829319281
2020-04-10,24,19.534543753674544
2020-04-11,24,23.200398193647864
2020-04-12,24,21.811505232421577
2020-04-13,24,23.200398193647864
2020-04-14,23,17.47221529448974
2020-04-15,24,24.207788797400013
2020-04-16,23,22.305946918073083
2020-04-17,25,23.453819802687427
2020-04-18,24.5,31.743022594675367
2020-04-19,25,31.4203492115647
2020-04-20,25,26.473790848408964
2020-04-21,26,21.235926005451912
2020-04-22,26,32.204095832972925
2020-04-23,25,22.753172555860473
2020-04-24,25.5,12.517946618737101
2020-04-25,26,17.32287075544176
2020-04-26,25,33.925375097422624
2020-04-27,22,50.0446023720182
2020-04-28,23,35.77663295781981
2020-04-29,26,18.16307018738808
2020-04-30,22,33.661753722804505
2020-05-01,20,46.338040472551995
2020-05-02,23,37.039996325391314
2020-05-03,23.5,29.49883284567909
2020-05-04,27,25.198140429756677
2020-05-05,24,39.34771891139363
2020-05-06,18,63.81411596050203
2020-05-07,18,59.94365319964765
2020-05-08,17,77.45998053871868
2020-05-09,17,77.45998053871868
2020-05-10,23,46.8479701002966
2020-05-11,21,49.549159547609406
2020-05-12,26,24.45698946540733
2020-05-13,27,21.638980186778127
2020-05-14,27,20.237245993425116
2020-05-15,29,16.53733135143753
2020-05-16,26,22.79672352613764
2020-05-17,26,14.961846513149915
2020-05-18,28,23.283762482974492
2020-05-19,28.5,20.741619623682006
2020-05-20,28,20.237245993425116
2020-05-21,29,17.545390675278604
2020-05-22,28,12.329680403903026
2020-05-23,27,12.13874092870572
2020-05-24,27.5,10.835606007405241
2020-05-25,27,15.8876917935989
2020-05-26,27,21.47526461520921
2020-05-27,27.5,17.15510225598601
2020-05-28,28,24.45698946540733
2020-05-29,26,29.310638281734896
2020-05-30,22,37.77028964800556
2020-05-31,23,40.98626736197717
2020-06-01,25,36.566660494858624
2020-06-02,27,36.8263072320645
2020-06-03,27,32.204095832972925
2020-06-04,27,34.44742019602518
2020-06-05,26,38.774619730083835
2020-06-06,24,44.3437021769521
2020-06-07,24.5,55.45234878849948
2020-06-08,24,57.015142501246274
2020-06-09,24,50.28889539231878
