date,med_temp,med_hum
2020-01-01,14,38.76821090691399
2020-01-02,13.5,42.94430096892236
2020-01-03,16,33.866942903079305
2020-01-04,15,41.96892496437919
2020-01-05,14.5,47.85017908503477
2020-01-06,15,45.29051187559897
2020-01-07,15,27.521040233235958
2020-01-08,14,35.83769710905349
2020-01-09,14.5,48.00584149749267
2020-01-10,14,41.693693842454636
2020-01-11,14,23.754284527601033
2020-01-12,12,50.42095268852469
2020-01-13,12,47.87038010626488
2020-01-14,13.25,50.47006292677028
2020-01-15,14,45.29051187559897
2020-01-16,13,51.207385485497824
2020-01-17,14,55.13883633020765
2020-01-18,13.5,43.505358451248114
2020-01-19,14,28.70207526439125
2020-01-20,16,27.441030958800738
2020-01-21,14,55.86063159183856
2020-01-22,14,77.0254286471061
2020-01-23,16,53.67621956661599
2020-01-24,18,36.67843702690598
2020-01-25,18.5,33.36974721280675
2020-01-26,18,39.6483053868861
2020-01-27,18,42.51240076984232
2020-01-28,18,25.746244231760183
2020-01-29,18,27.441030958800738
2020-01-30,16,27.030741332578998
2020-01-31,17.5,19.960844999794812
2020-02-01,17,22.778736506131594
2020-02-02,18,31.48922589324287
2020-02-03,15,26.27814246559435
2020-02-04,12,9.469802574659962
2020-02-05,10,13.272330193046674
2020-02-06,12,21.063153999221754
2020-02-07,14,47.2005972471017
2020-02-08,17,36.12005622180109
2020-02-09,15.5,51.83442918775021
2020-02-10,14,54.39402067843743
2020-02-11,12,79.51877549750728
2020-02-12,13,35.40988459486353
2020-02-13,14,58.33754784211035
2020-02-14,16,31.767048808140686
2020-02-15,17.5,29.870216594921246
2020-02-16,18,36.95449002493812
2020-02-17,18.5,34.49786452603066
2020-02-18,20,30.08171091634625
2020-02-19,20.5,15.754453677976905
2020-02-20,21,21.864722781025336
2020-02-21,20,21.063153999221754
2020-02-22,20,30.622057172040385
2020-02-23,16,45.02270706073855
2020-02-24,18,52.21984890689849
2020-02-25,22,22.87880792948867
2020-02-26,17,8.887884828505314
2020-02-27,16,13.4891379427825
2020-02-28,19,20.811967214856406
2020-02-29,20,27.910968276594296
2020-03-01,20.5,23.419965438140977
2020-03-02,16,41.96892496437919
2020-03-03,16,36.95449002493812
2020-03-04,17,64.01995631013389
2020-03-05,19.5,58.129806089529474
2020-03-06,22,29.310638281734896
2020-03-07,21,33.39638728056558
2020-03-08,19.5,33.64349946133742
2020-03-09,18.5,44.95505776593929
2020-03-10,15,82.40221826885791
2020-03-11,14,95.83796041082063
2020-03-12,18,88.1011015877247
2020-03-13,15,72.40572430766677
2020-03-14,19.5,59.96774443625441
2020-03-15,19,59.27028663548249
2020-03-16,19,42.78069343279275
2020-03-17,18,48.52879418877821
2020-03-18,14,59.04092137331875
2020-03-19,14,54.39402067843743
2020-03-20,15,56.73388259543707
2020-03-21,18,45.55592014158267
2020-03-22,20,32.860382942065
2020-03-23,20.5,41.88482661405159
2020-03-24,19,34.69691812419751
2020-03-25,19.5,32.58883748361017
2020-03-26,17,33.866942903079305
2020-03-27,15.5,28.84168913263847
2020-03-28,17,29.809078770647226
2020-03-29,18,29.809078770647226
2020-03-30,20,28.251207296599624
2020-03-31,22,28.915949254644495
2020-04-01,21,32.860382942065
2020-04-02,21.5,40.80086893744666
2020-04-03,22,26.000961238119118
2020-04-04,22,28.78389190892366
2020-04-05,21.75,32.078265014908595
2020-04-06,18.5,45.55592014158267
2020-04-07,20.5,41.75181283044796
2020-04-08,16,57.56545911366052
2020-04-09,17,39.6483053868861
2020-04-10,18,49.01940419550996
2020-04-11,15,72.23481564768205
2020-04-12,21.5,40.457488270423156
2020-04-13,22,35.77663295781981
2020-04-14,26,20.513169474573736
2020-04-15,24,13.074538798228227
2020-04-16,26.5,18.185699436592344
2020-04-17,24.5,17.39754302496575
2020-04-18,23,28.186969382480914
2020-04-19,21,35.240580775172695
2020-04-20,24.5,27.548784369656225
2020-04-21,25.5,22.476656052024737
2020-04-22,29,20.003683035248883
2020-04-23,33,11.561217025746874
2020-04-24,36,10.681265171156628
2020-04-25,36,10.209340367923879
2020-04-26,37.5,8.940730008761353
2020-04-27,35,9.20410689047765
2020-04-28,35.5,14.581074006930464
2020-04-29,35,21.62377900423907
2020-04-30,33.25,16.855453200978115
2020-05-01,35,11.315725349368885
2020-05-02,34,11.673875068796741
2020-05-03,33,11.610207025567295
2020-05-04,32,12.903104620461411
2020-05-05,36,8.057259313733212
2020-05-06,38,8.425532609686867
2020-05-07,38,7.8961317271247315
2020-05-08,37,11.483631631364283
2020-05-09,35,25.890543967229405
2020-05-10,34,24.484612384081476
2020-05-11,33.5,16.148517024159283
2020-05-12,30,11.186597146133241
2020-05-13,26,22.55179811602226
2020-05-14,30,14.298602121919126
2020-05-15,31.5,17.00505571826209
2020-05-16,32.5,23.333405502714456
2020-05-17,34,24.668894165920612
2020-05-18,32.5,10.691484705281534
2020-05-19,26,14.329842014653305
2020-05-20,26,16.87659944523737
2020-05-21,30.5,12.437444058685932
2020-05-22,32.5,14.395108620502432
2020-05-23,30,13.550633724333512
2020-05-24,34,9.043887293543065
2020-05-25,35,6.264885375965733
2020-05-26,38,5.833500282768368
2020-05-27,37,15.651206618757861
2020-05-28,39,15.959452185767969
2020-05-29,34,29.100169304125068
2020-05-30,35,10.336096454311386
2020-05-31,35,10.681265171156628
2020-06-01,34.5,23.897447981172036
2020-06-02,37,17.054614710333603
2020-06-03,39.25,10.900687580643957
2020-06-04,41,9.818579969330422
2020-06-05,36,15.316223096736817
2020-06-06,29,24.999825519905407
2020-06-07,30,21.235926005451912
