date,med_temp,med_hum
2020-01-01,19,73.06902050019842
2020-01-02,19,77.74071657378644
2020-01-03,18.5,82.63077002441348
2020-01-04,19,52.46674886846966
2020-01-05,21,53.23535623259656
2020-01-06,20,60.163324567622766
2020-01-07,18.75,70.77741626714423
2020-01-08,20.25,69.02090909224768
2020-01-09,20.5,66.8598534422866
2020-01-10,20.5,78.09632600660323
2020-01-11,19,45.81895948412143
2020-01-12,20,55.13883633020765
2020-01-13,19.5,55.50223549428762
2020-01-14,22.5,53.75614176859483
2020-01-15,21,66.56443946994247
2020-01-16,22,68.97175927445906
2020-01-17,20.1,77.87849361687259
2020-01-18,24,57.23908378418548
2020-01-19,22,73.06902050019842
2020-01-20,22,68.8464778768001
2020-01-21,22.5,69.10491482083933
2020-01-22,22,60.59570957308006
2020-01-23,19,85.61039591158293
2020-01-24,20.5,75.5542159782784
2020-01-25,19,82.85348002675016
2020-01-26,20.5,75.48532745673533
2020-01-27,21.5,66.67116805189382
2020-01-28,21,64.42482960921744
2020-01-29,20,77.87849361687259
2020-01-30,20,80.42060364519742
2020-01-31,19.5,55.0498067768372
2020-02-01,19.5,55.99712314592872
2020-02-02,21.666666666666668,60.59570957308006
2020-02-03,20.166666666666664,97.02470074921284
2020-02-04,21,83.07056865668882
2020-02-05,17.65,66.37958129782493
2020-02-06,14,54.1404536490307
2020-02-07,17.5,51.8445775789457
2020-02-08,19.5,63.331968996443635
2020-02-09,21,73.22993833968422
2020-02-10,22,78.14902220275958
2020-02-11,20,82.96271367352225
2020-02-12,18,77.74071657378644
2020-02-13,18.5,57.211431894310934
2020-02-14,19,59.94365319964765
2020-02-15,21,55.50948277171388
2020-02-16,23,57.69735134022446
2020-02-17,23,60.380664845333186
2020-02-18,24.5,55.568783070981425
2020-02-19,23,64.95180225596287
2020-02-20,23,64.62393525340177
2020-02-21,24,61.01905115565172
2020-02-22,25,69.41394808253514
2020-02-23,23.5,61.53565870459269
2020-02-24,21,64.42372526900186
2020-02-25,21.5,62.51357513013962
2020-02-26,21.5,70.41821827151156
2020-02-27,22,64.42041187957639
2020-02-28,22.5,65.26490123003559
2020-02-29,23.2,58.91739667863277
2020-03-01,25,47.099569150099605
2020-03-02,23,56.09628761143618
2020-03-03,19,77.40413754535675
2020-03-04,18,63.71003634808848
2020-03-05,20,56.32953213683388
2020-03-06,23,61.22741575076661
2020-03-07,23,69.23946921825062
2020-03-08,24,69.23946921825062
2020-03-09,26.5,53.78204807529542
2020-03-10,25.5,65.4932532630039
2020-03-11,30,42.772211143068674
2020-03-12,27,54.129121311830716
2020-03-13,26.5,59.665598223664816
2020-03-14,26,60.123935796096454
2020-03-15,24.5,50.40991820794173
2020-03-16,24.5,57.458766756714546
2020-03-17,21,65.01566070822071
2020-03-18,23,68.88455335627403
2020-03-19,23,69.06201128726232
2020-03-20,23.5,61.70273259299075
2020-03-21,22,49.798033407745244
2020-03-22,24,50.77076742704715
2020-03-23,24,57.23908378418548
2020-03-24,25.5,59.70234833858792
2020-03-25,24,61.14082470444582
2020-03-26,23,64.82086744901889
2020-03-27,24.5,57.58302704729711
2020-03-28,23,47.803789989426434
2020-03-29,23,42.03100038648645
2020-03-30,24.75,48.57470936985989
2020-03-31,23.5,55.39409213182587
2020-04-01,23,64.82086744901889
2020-04-02,24,44.088649638445055
2020-04-03,27,39.34771891139363
2020-04-04,27.65,36.62134312580002
2020-04-05,24.4,49.089533767403495
2020-04-06,26,47.59616515079531
2020-04-07,27,50.23166626038372
2020-04-08,23.6,71.39279707894737
2020-04-09,26,53.898482357777375
2020-04-10,26,57.680268956010195
2020-04-11,25,40.72293222810317
2020-04-12,22,46.96979614025793
2020-04-13,23.5,48.573496188656065
2020-04-14,23,46.8479701002966
2020-04-15,26,44.59662853524334
2020-04-16,24.5,54.20232938108172
2020-04-17,25,44.43169283515452
2020-04-18,25,54.129121311830716
2020-04-19,22,73.53880033701068
2020-04-20,26,57.6883058194389
2020-04-21,25,53.898482357777375
2020-04-22,28,41.76381652020943
2020-04-23,28,48.08412749680831
2020-04-24,26,44.59662853524334
2020-04-25,30,40.6091491737395
2020-04-26,28.5,39.40922693607311
2020-04-27,28.7,41.25264041080555
2020-04-28,29.5,31.426702216341894
2020-04-29,28,44.59662853524334
2020-04-30,28.5,54.693765514605786
2020-05-01,30,40.110223252917045
2020-05-02,31,31.107756510856397
2020-05-03,32,27.95840523608938
2020-05-04,32.3,32.28690083503777
2020-05-05,29,45.83014811630574
2020-05-06,31,48.32493337623937
2020-05-07,31,31.107756510856397
2020-05-08,29,42.965445007465725
2020-05-09,30.4,36.42736339036949
2020-05-10,31.2,31.608049720714316
2020-05-11,29.5,40.18492663822744
2020-05-12,30.95,29.789224919405825
2020-05-13,28.5,38.21492840867187
2020-05-14,29.5,40.058716446318996
2020-05-15,31.25,31.879417202472712
2020-05-16,29,48.32389127226025
2020-05-17,29.5,46.852581557836444
2020-05-18,29,48.32493337623937
2020-05-19,29,40.24179641805469
2020-05-20,29.125,48.39548735947122
2020-05-21,31,48.80031663669829
2020-05-22,30,44.181126170908385
2020-05-23,29,51.93756957355183
2020-05-24,28,58.112734340852754
2020-05-25,27,63.612619329469524
2020-05-26,27,65.58754155480105
2020-05-27,26,78.47787432194771
2020-05-28,26.5,68.64360931801272
2020-05-29,25.933333333333334,72.32883580098427
2020-05-30,26.1,69.7571098900847
2020-05-31,26,69.58648439089438
2020-06-01,26.5,69.06536396328528
2020-06-02,28,63.719279258908415
2020-06-03,27.9,73.85499492447167
2020-06-04,33,58.24823736002116
